name	taxonomy_id	taxonomy_lvl	C10_S21_S._num	C10_S21_S._frac	C1_S12_S._num	C1_S12_S._frac	C2_S13_S._num	C2_S13_S._frac	C3_S14_S._num	C3_S14_S._frac	C4_S15_S._num	C4_S15_S._frac	C5_S16_S._num	C5_S16_S._frac	C6_S17_S._num	C6_S17_S._frac	C7_S18_S._num	C7_S18_S._frac	C9_S20_S._num	C9_S20_S._frac	Post_Cntl_S._num	Post_Cntl_S._frac	S10_S11_S._num	S10_S11_S._frac	S1_S2_S._num	S1_S2_S._frac	S2_S3_S._num	S2_S3_S._frac	S3_S4_S._num	S3_S4_S._frac	S4_S5_S._num	S4_S5_S._frac	S5_S6_S._num	S5_S6_S._frac	S6_S7_S._num	S6_S7_S._frac	S7_S8_S._num	S7_S8_S._frac	S8_S9_S._num	S8_S9_S._frac	S9_S10_S._num	S9_S10_S._frac
Stenotrophomonas sp. YAU14D1_LEIMI4_1	2072407	S	260	0.00002	61	0.00000	72	0.00001	44	0.00000	89	0.00001	63	0.00001	64	0.00000	64	0.00000	264	0.00001	0	0.00000	80	0.00000	239	0.00001	70	0.00000	357	0.00001	80	0.00001	1808	0.00003	39	0.00001	96	0.00001	104	0.00001	53	0.00000
Stenotrophomonas sp. ZAC14D2_NAIMI4_6	2072406	S	147	0.00001	56	0.00000	72	0.00001	45	0.00001	37	0.00000	98	0.00001	46	0.00000	101	0.00001	245	0.00001	0	0.00000	149	0.00001	248	0.00001	97	0.00001	286	0.00001	104	0.00001	1760	0.00003	78	0.00001	154	0.00001	80	0.00001	65	0.00001
Stenotrophomonas sp. ZAC14D2_NAIMI4_7	2072405	S	100	0.00001	76	0.00000	70	0.00001	73	0.00001	98	0.00001	91	0.00001	80	0.00000	84	0.00001	124	0.00000	0	0.00000	346	0.00002	93	0.00000	158	0.00001	141	0.00000	120	0.00001	2268	0.00004	139	0.00002	154	0.00001	104	0.00001	116	0.00001
Stenotrophomonas sp. ZAC14A_NAIMI4_1	2072412	S	143	0.00001	158	0.00001	180	0.00002	138	0.00002	112	0.00001	168	0.00002	72	0.00000	171	0.00001	182	0.00001	0	0.00000	90	0.00000	189	0.00001	141	0.00001	275	0.00001	54	0.00000	2945	0.00005	0	0.00000	82	0.00001	297	0.00002	76	0.00001
Stenotrophomonas sp. SAU14A_NAIMI4_8	2072409	S	198	0.00001	178	0.00001	122	0.00001	100	0.00001	107	0.00001	77	0.00001	75	0.00000	102	0.00001	158	0.00001	0	0.00000	127	0.00001	204	0.00001	137	0.00001	311	0.00001	121	0.00001	1952	0.00003	64	0.00001	195	0.00001	238	0.00002	173	0.00002
Stenotrophomonas sp. SAU14A_NAIMI4_5	2072413	S	219	0.00001	351	0.00002	744	0.00006	434	0.00005	660	0.00006	1019	0.00011	347	0.00002	799	0.00005	270	0.00001	0	0.00000	1132	0.00006	627	0.00002	1044	0.00007	1125	0.00003	536	0.00005	14373	0.00026	443	0.00006	1339	0.00010	532	0.00004	488	0.00004
Stenotrophomonas sepilia	2860290	S	60	0.00000	40	0.00000	68	0.00001	54	0.00001	0	0.00000	73	0.00001	45	0.00000	69	0.00000	85	0.00000	0	0.00000	39	0.00000	139	0.00001	0	0.00000	176	0.00001	49	0.00000	633	0.00001	0	0.00000	85	0.00001	0	0.00000	0	0.00000
Stenotrophomonas sp. 24(2023)	3068324	S	239	0.00001	223	0.00001	218	0.00002	146	0.00002	169	0.00002	223	0.00002	123	0.00001	242	0.00002	302	0.00001	0	0.00000	347	0.00002	173	0.00001	238	0.00002	245	0.00001	191	0.00002	5956	0.00011	123	0.00002	237	0.00002	203	0.00002	168	0.00001
Stenotrophomonas sp. LGBM10	3390038	S	158	0.00001	117	0.00001	129	0.00001	99	0.00001	122	0.00001	112	0.00001	124	0.00001	171	0.00001	218	0.00001	0	0.00000	237	0.00001	461	0.00002	129	0.00001	583	0.00002	82	0.00001	9347	0.00017	78	0.00001	211	0.00002	243	0.00002	75	0.00001
Stenotrophomonas sp. 704A1	3055079	S	205	0.00001	232	0.00001	427	0.00004	204	0.00002	195	0.00002	280	0.00003	167	0.00001	214	0.00001	253	0.00001	0	0.00000	491	0.00003	484	0.00002	420	0.00003	627	0.00002	209	0.00002	6409	0.00011	246	0.00003	577	0.00004	439	0.00004	341	0.00003
Stenotrophomonas sp. NA06056	2742129	S	150	0.00001	124	0.00001	159	0.00001	96	0.00001	102	0.00001	151	0.00002	123	0.00001	139	0.00001	249	0.00001	0	0.00000	202	0.00001	180	0.00001	106	0.00001	205	0.00001	106	0.00001	2787	0.00005	44	0.00001	165	0.00001	93	0.00001	92	0.00001
Stenotrophomonas sp. BIO128-Bstrain	3027225	S	210	0.00001	139	0.00001	198	0.00002	103	0.00001	162	0.00002	211	0.00002	170	0.00001	368	0.00002	219	0.00001	0	0.00000	185	0.00001	75	0.00000	150	0.00001	129	0.00000	121	0.00001	25736	0.00046	74	0.00001	226	0.00002	86	0.00001	163	0.00001
Stenotrophomonas sp. LM091	1904944	S	184	0.00001	112	0.00001	152	0.00001	116	0.00001	96	0.00001	130	0.00001	94	0.00001	110	0.00001	214	0.00001	0	0.00000	160	0.00001	83	0.00000	113	0.00001	128	0.00000	100	0.00001	23658	0.00042	42	0.00001	114	0.00001	80	0.00001	89	0.00001
Stenotrophomonas sp. 169	2770322	S	180	0.00001	123	0.00001	149	0.00001	88	0.00001	97	0.00001	90	0.00001	70	0.00000	107	0.00001	237	0.00001	0	0.00000	151	0.00001	203	0.00001	130	0.00001	222	0.00001	84	0.00001	4638	0.00008	57	0.00001	211	0.00002	26	0.00000	62	0.00001
Stenotrophomonas sp. WHRI 8082	3162571	S	159	0.00001	126	0.00001	144	0.00001	97	0.00001	82	0.00001	114	0.00001	103	0.00001	109	0.00001	185	0.00001	0	0.00000	108	0.00001	175	0.00001	108	0.00001	270	0.00001	81	0.00001	3572	0.00006	68	0.00001	137	0.00001	93	0.00001	86	0.00001
Stenotrophomonas sp. 57	3051119	S	74	0.00000	83	0.00000	93	0.00001	103	0.00001	91	0.00001	76	0.00001	59	0.00000	91	0.00001	108	0.00000	0	0.00000	133	0.00001	359	0.00001	74	0.00001	494	0.00001	49	0.00000	2467	0.00004	64	0.00001	71	0.00001	32	0.00000	58	0.00001
Stenotrophomonas sp. ASS1	2282124	S	149	0.00001	69	0.00000	45	0.00000	0	0.00000	0	0.00000	62	0.00001	0	0.00000	59	0.00000	155	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	56	0.00000	0	0.00000	862	0.00002	0	0.00000	55	0.00000	62	0.00001	42	0.00000
Stenotrophomonas sp. G4	2303750	S	186	0.00001	203	0.00001	0	0.00000	91	0.00001	93	0.00001	0	0.00000	0	0.00000	0	0.00000	104	0.00000	0	0.00000	118	0.00001	101	0.00000	156	0.00001	102	0.00000	100	0.00001	1277	0.00002	0	0.00000	66	0.00000	65	0.00001	51	0.00000
Stenotrophomonas sp. WZN-1	2005046	S	53	0.00000	81	0.00000	84	0.00001	64	0.00001	71	0.00001	63	0.00001	40	0.00000	51	0.00000	74	0.00000	0	0.00000	66	0.00000	52	0.00000	69	0.00000	65	0.00000	42	0.00000	1587	0.00003	29	0.00000	117	0.00001	28	0.00000	47	0.00000
Stenotrophomonas sp. EMP41	3396625	S	57	0.00000	80	0.00000	73	0.00001	33	0.00000	64	0.00001	60	0.00001	95	0.00001	91	0.00001	69	0.00000	0	0.00000	104	0.00001	186	0.00001	30	0.00000	284	0.00001	0	0.00000	1455	0.00003	42	0.00001	65	0.00000	32	0.00000	28	0.00000
Stenotrophomonas sp. 364	2691571	S	46	0.00000	74	0.00000	68	0.00001	49	0.00001	58	0.00001	50	0.00001	59	0.00000	84	0.00001	94	0.00000	0	0.00000	30	0.00000	63	0.00000	42	0.00000	79	0.00000	29	0.00000	3369	0.00006	0	0.00000	101	0.00001	48	0.00000	38	0.00000
Stenotrophomonas sp. 59	3051120	S	44	0.00000	125	0.00001	90	0.00001	64	0.00001	79	0.00001	76	0.00001	76	0.00000	78	0.00001	45	0.00000	0	0.00000	75	0.00000	46	0.00000	118	0.00001	54	0.00000	80	0.00001	1447	0.00003	35	0.00000	77	0.00001	33	0.00000	85	0.00001
Stenotrophomonas sp. DR822	2871174	S	44	0.00000	108	0.00001	96	0.00001	56	0.00001	93	0.00001	60	0.00001	74	0.00000	143	0.00001	75	0.00000	0	0.00000	116	0.00001	81	0.00000	62	0.00000	133	0.00000	59	0.00001	1356	0.00002	45	0.00001	118	0.00001	42	0.00000	65	0.00001
Stenotrophomonas sp. MYb57	1827305	S	80	0.00000	86	0.00000	77	0.00001	0	0.00000	96	0.00001	59	0.00001	40	0.00000	62	0.00000	128	0.00001	0	0.00000	0	0.00000	69	0.00000	0	0.00000	72	0.00000	0	0.00000	902	0.00002	0	0.00000	55	0.00000	0	0.00000	0	0.00000
Stenotrophomonas sp. 17(2023)	3051123	S	84	0.00000	52	0.00000	77	0.00001	88	0.00001	61	0.00001	76	0.00001	66	0.00000	47	0.00000	120	0.00000	0	0.00000	0	0.00000	135	0.00001	0	0.00000	155	0.00000	0	0.00000	1261	0.00002	0	0.00000	108	0.00001	0	0.00000	0	0.00000
Stenotrophomonas sp. CW117	2775920	S	284	0.00002	253	0.00001	692	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	426	0.00002	0	0.00000	634	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2209	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Stenotrophomonas sp. Y-13	3384161	S	42	0.00000	47	0.00000	89	0.00001	76	0.00001	61	0.00001	73	0.00001	31	0.00000	73	0.00000	68	0.00000	0	0.00000	68	0.00000	87	0.00000	48	0.00000	137	0.00000	49	0.00000	2342	0.00004	0	0.00000	60	0.00000	88	0.00001	0	0.00000
Stenotrophomonas sp. P2112	3308998	S	65	0.00000	72	0.00000	83	0.00001	57	0.00001	0	0.00000	60	0.00001	0	0.00000	0	0.00000	130	0.00001	0	0.00000	108	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	913	0.00002	76	0.00001	66	0.00000	89	0.00001	0	0.00000
Stenotrophomonas sp. Pemsol	2040586	S	55	0.00000	96	0.00000	0	0.00000	0	0.00000	68	0.00001	0	0.00000	55	0.00000	0	0.00000	48	0.00000	0	0.00000	206	0.00001	463	0.00002	202	0.00001	627	0.00002	88	0.00001	791	0.00001	110	0.00001	0	0.00000	83	0.00001	146	0.00001
Stenotrophomonas sp. NY11291	2939415	S	75	0.00000	88	0.00000	166	0.00001	85	0.00001	0	0.00000	170	0.00002	68	0.00000	91	0.00001	106	0.00000	0	0.00000	99	0.00001	114	0.00000	0	0.00000	150	0.00000	0	0.00000	1366	0.00002	0	0.00000	0	0.00000	87	0.00001	0	0.00000
Stenotrophomonas sp. PAMC25021	2565559	S	61	0.00000	63	0.00000	0	0.00000	79	0.00001	74	0.00001	96	0.00001	104	0.00001	0	0.00000	75	0.00000	0	0.00000	125	0.00001	278	0.00001	127	0.00001	274	0.00001	84	0.00001	1653	0.00003	0	0.00000	211	0.00002	0	0.00000	119	0.00001
Stenotrophomonas sp. SXG-1	2682487	S	67	0.00000	63	0.00000	109	0.00001	0	0.00000	0	0.00000	109	0.00001	0	0.00000	0	0.00000	127	0.00001	0	0.00000	129	0.00001	92	0.00000	78	0.00001	160	0.00000	0	0.00000	1200	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Stenotrophomonas rhizophila	216778	S	1056	0.00006	711	0.00003	633	0.00005	530	0.00006	601	0.00006	642	0.00007	512	0.00003	736	0.00005	1277	0.00005	0	0.00000	638	0.00003	716	0.00003	539	0.00004	1044	0.00003	401	0.00004	131173	0.00235	258	0.00003	1026	0.00007	500	0.00004	362	0.00003
Stenotrophomonas pigmentata	3055080	S	261	0.00002	232	0.00001	237	0.00002	174	0.00002	209	0.00002	151	0.00002	166	0.00001	251	0.00002	365	0.00001	0	0.00000	484	0.00003	218	0.00001	346	0.00002	307	0.00001	216	0.00002	11559	0.00021	186	0.00003	309	0.00002	240	0.00002	257	0.00002
Stenotrophomonas oahuensis	3003271	S	247	0.00001	227	0.00001	211	0.00002	130	0.00001	149	0.00001	170	0.00002	174	0.00001	171	0.00001	320	0.00001	0	0.00000	315	0.00002	217	0.00001	240	0.00002	343	0.00001	178	0.00002	6127	0.00011	134	0.00002	288	0.00002	230	0.00002	185	0.00002
Stenotrophomonas acidaminiphila	128780	S	567	0.00003	487	0.00002	724	0.00006	467	0.00005	546	0.00005	644	0.00007	538	0.00003	612	0.00004	755	0.00003	0	0.00000	841	0.00004	827	0.00003	509	0.00003	1210	0.00003	415	0.00004	15061	0.00027	350	0.00005	567	0.00004	253	0.00002	401	0.00004
Stenotrophomonas lacuserhaii	2760084	S	231	0.00001	247	0.00001	263	0.00002	164	0.00002	201	0.00002	232	0.00002	173	0.00001	249	0.00002	313	0.00001	0	0.00000	283	0.00001	408	0.00002	276	0.00002	549	0.00002	198	0.00002	9994	0.00018	150	0.00002	439	0.00003	291	0.00002	205	0.00002
Stenotrophomonas nitritireducens	83617	S	446	0.00003	466	0.00002	555	0.00005	340	0.00004	372	0.00004	369	0.00004	329	0.00002	411	0.00003	621	0.00002	0	0.00000	381	0.00002	660	0.00003	432	0.00003	905	0.00003	258	0.00002	21325	0.00038	159	0.00002	654	0.00005	385	0.00003	273	0.00002
Stenotrophomonas aracearum	3003272	S	198	0.00001	308	0.00001	214	0.00002	143	0.00002	166	0.00002	188	0.00002	175	0.00001	235	0.00002	226	0.00001	0	0.00000	456	0.00002	498	0.00002	249	0.00002	666	0.00002	180	0.00002	11428	0.00020	211	0.00003	254	0.00002	150	0.00001	170	0.00002
Stenotrophomonas nematodicola	2656746	S	137	0.00001	153	0.00001	180	0.00002	126	0.00001	111	0.00001	153	0.00002	165	0.00001	212	0.00001	156	0.00001	0	0.00000	251	0.00001	554	0.00002	194	0.00001	823	0.00002	129	0.00001	6040	0.00011	96	0.00001	192	0.00001	142	0.00001	105	0.00001
Stenotrophomonas indicatrix	2045451	S	208	0.00001	136	0.00001	157	0.00001	101	0.00001	139	0.00001	98	0.00001	181	0.00001	138	0.00001	286	0.00001	0	0.00000	123	0.00001	209	0.00001	168	0.00001	260	0.00001	108	0.00001	2521	0.00005	87	0.00001	102	0.00001	167	0.00001	117	0.00001
Stenotrophomonas cyclobalanopsidis	2771362	S	131	0.00001	164	0.00001	293	0.00003	208	0.00002	259	0.00002	294	0.00003	158	0.00001	302	0.00002	160	0.00001	0	0.00000	624	0.00003	468	0.00002	613	0.00004	817	0.00002	390	0.00003	4081	0.00007	270	0.00004	449	0.00003	354	0.00003	384	0.00003
Stenotrophomonas geniculata	86188	S	138	0.00001	271	0.00001	244	0.00002	183	0.00002	253	0.00002	257	0.00003	226	0.00001	307	0.00002	177	0.00001	0	0.00000	282	0.00001	178	0.00001	224	0.00002	372	0.00001	146	0.00001	3625	0.00006	130	0.00002	440	0.00003	278	0.00002	193	0.00002
Stenotrophomonas lactitubi	2045214	S	72	0.00000	32	0.00000	59	0.00001	62	0.00001	40	0.00000	64	0.00001	55	0.00000	100	0.00001	102	0.00000	0	0.00000	116	0.00001	49	0.00000	146	0.00001	80	0.00000	101	0.00001	1454	0.00003	32	0.00000	65	0.00000	24	0.00000	125	0.00001
Stenotrophomonas pavanii	487698	S	145	0.00001	212	0.00001	232	0.00002	164	0.00002	232	0.00002	234	0.00002	176	0.00001	197	0.00001	194	0.00001	0	0.00000	261	0.00001	223	0.00001	319	0.00002	410	0.00001	237	0.00002	3024	0.00005	76	0.00001	585	0.00004	192	0.00002	203	0.00002
Stenotrophomonas riyadhensis	2859893	S	44	0.00000	127	0.00001	221	0.00002	63	0.00001	152	0.00001	193	0.00002	63	0.00000	115	0.00001	59	0.00000	0	0.00000	81	0.00000	444	0.00002	52	0.00000	660	0.00002	0	0.00000	888	0.00002	0	0.00000	150	0.00001	0	0.00000	0	0.00000
Lysobacter sp. HDW10	2714936	S	356	0.00002	135	0.00001	164	0.00001	156	0.00002	127	0.00001	150	0.00002	146	0.00001	211	0.00001	609	0.00002	0	0.00000	241	0.00001	61	0.00000	181	0.00001	94	0.00000	111	0.00001	8905	0.00016	93	0.00001	123	0.00001	85	0.00001	125	0.00001
Lysobacter sp. CW239	2762611	S	371	0.00002	205	0.00001	238	0.00002	152	0.00002	145	0.00001	192	0.00002	179	0.00001	212	0.00001	576	0.00002	0	0.00000	306	0.00002	275	0.00001	175	0.00001	407	0.00001	139	0.00001	14014	0.00025	92	0.00001	263	0.00002	202	0.00002	123	0.00001
Lysobacter sp. 5GHs7-4	2904253	S	282	0.00002	328	0.00002	276	0.00002	201	0.00002	243	0.00002	251	0.00003	185	0.00001	295	0.00002	321	0.00001	0	0.00000	238	0.00001	322	0.00001	266	0.00002	468	0.00001	161	0.00001	10914	0.00020	107	0.00001	251	0.00002	171	0.00001	171	0.00002
Lysobacter sp. FW306-1B-D06B	3140250	S	198	0.00001	208	0.00001	224	0.00002	146	0.00002	146	0.00001	274	0.00003	149	0.00001	282	0.00002	244	0.00001	0	0.00000	137	0.00001	216	0.00001	161	0.00001	337	0.00001	105	0.00001	8940	0.00016	45	0.00001	208	0.00002	153	0.00001	118	0.00001
Lysobacter sp. K5869	2820808	S	171	0.00001	241	0.00001	160	0.00001	159	0.00002	167	0.00002	190	0.00002	139	0.00001	185	0.00001	212	0.00001	0	0.00000	316	0.00002	212	0.00001	229	0.00002	277	0.00001	149	0.00001	4721	0.00008	141	0.00002	222	0.00002	95	0.00001	163	0.00001
Lysobacter sp. S4-A87	2925843	S	162	0.00001	160	0.00001	116	0.00001	107	0.00001	116	0.00001	108	0.00001	79	0.00000	152	0.00001	242	0.00001	0	0.00000	178	0.00001	201	0.00001	208	0.00001	223	0.00001	140	0.00001	8390	0.00015	63	0.00001	230	0.00002	114	0.00001	135	0.00001
Lysobacter sp. Hz 25	3383698	S	162	0.00001	181	0.00001	173	0.00001	121	0.00001	178	0.00002	180	0.00002	220	0.00001	206	0.00001	201	0.00001	0	0.00000	273	0.00001	299	0.00001	236	0.00002	436	0.00001	204	0.00002	5146	0.00009	98	0.00001	311	0.00002	110	0.00001	188	0.00002
Lysobacter sp. KIS68-7	2904252	S	146	0.00001	177	0.00001	175	0.00002	122	0.00001	123	0.00001	147	0.00002	136	0.00001	174	0.00001	211	0.00001	0	0.00000	220	0.00001	278	0.00001	267	0.00002	411	0.00001	221	0.00002	9304	0.00017	76	0.00001	240	0.00002	90	0.00001	221	0.00002
Lysobacter sp. TY2-98	2290922	S	140	0.00001	189	0.00001	205	0.00002	129	0.00001	142	0.00001	209	0.00002	114	0.00001	221	0.00001	199	0.00001	0	0.00000	319	0.00002	198	0.00001	239	0.00002	320	0.00001	142	0.00001	7387	0.00013	112	0.00002	243	0.00002	137	0.00001	185	0.00002
Lysobacter sp. H21R4	2781021	S	221	0.00001	190	0.00001	188	0.00002	154	0.00002	131	0.00001	178	0.00002	117	0.00001	207	0.00001	414	0.00002	0	0.00000	261	0.00001	150	0.00001	112	0.00001	269	0.00001	83	0.00001	6729	0.00012	65	0.00001	195	0.00001	155	0.00001	113	0.00001
Lysobacter sp. H23M47	2781024	S	671	0.00004	237	0.00001	274	0.00002	213	0.00002	340	0.00003	453	0.00005	185	0.00001	380	0.00003	980	0.00004	0	0.00000	229	0.00001	692	0.00003	244	0.00002	855	0.00002	185	0.00002	16504	0.00030	190	0.00003	516	0.00004	286	0.00002	197	0.00002
Lysobacter capsici	435897	S	935	0.00005	888	0.00004	883	0.00008	630	0.00007	652	0.00006	775	0.00008	616	0.00004	808	0.00005	1314	0.00005	0	0.00000	1072	0.00006	996	0.00004	680	0.00005	1292	0.00004	536	0.00005	26086	0.00047	422	0.00006	1082	0.00008	961	0.00008	581	0.00005
Lysobacter enzymogenes	69	S	841	0.00005	901	0.00004	829	0.00007	619	0.00007	669	0.00006	832	0.00009	780	0.00005	983	0.00007	1087	0.00004	0	0.00000	1221	0.00006	1498	0.00006	997	0.00007	2000	0.00006	749	0.00007	27709	0.00050	530	0.00007	1300	0.00009	838	0.00007	805	0.00007
Lysobacter soli	453783	S	448	0.00003	451	0.00002	468	0.00004	318	0.00004	364	0.00003	355	0.00004	279	0.00002	507	0.00003	541	0.00002	0	0.00000	738	0.00004	1279	0.00005	639	0.00004	1695	0.00005	485	0.00004	15919	0.00028	301	0.00004	439	0.00003	323	0.00003	489	0.00004
Lysobacter soyae	2764185	S	238	0.00001	233	0.00001	179	0.00002	104	0.00001	148	0.00001	132	0.00001	139	0.00001	172	0.00001	351	0.00001	0	0.00000	377	0.00002	491	0.00002	251	0.00002	611	0.00002	189	0.00002	10289	0.00018	131	0.00002	235	0.00002	161	0.00001	170	0.00002
Lysobacter firmicutimachus	1792846	S	212	0.00001	259	0.00001	304	0.00003	182	0.00002	254	0.00002	247	0.00003	196	0.00001	289	0.00002	294	0.00001	0	0.00000	359	0.00002	259	0.00001	192	0.00001	400	0.00001	163	0.00001	7428	0.00013	108	0.00001	414	0.00003	153	0.00001	151	0.00001
Lysobacter antibioticus	84531	S	201	0.00001	247	0.00001	284	0.00002	181	0.00002	254	0.00002	248	0.00003	164	0.00001	215	0.00001	257	0.00001	0	0.00000	269	0.00001	222	0.00001	227	0.00002	343	0.00001	157	0.00001	6257	0.00011	118	0.00002	222	0.00002	240	0.00002	179	0.00002
Lysobacter arenosi	2795387	S	165	0.00001	203	0.00001	196	0.00002	126	0.00001	157	0.00002	183	0.00002	162	0.00001	163	0.00001	274	0.00001	0	0.00000	164	0.00001	146	0.00001	293	0.00002	185	0.00001	208	0.00002	8173	0.00015	85	0.00001	211	0.00002	150	0.00001	220	0.00002
Lysobacter auxotrophicus	2992573	S	160	0.00001	183	0.00001	208	0.00002	147	0.00002	127	0.00001	175	0.00002	139	0.00001	192	0.00001	243	0.00001	0	0.00000	239	0.00001	227	0.00001	183	0.00001	326	0.00001	137	0.00001	8251	0.00015	111	0.00001	266	0.00002	141	0.00001	139	0.00001
Lysobacter yananisis	1003114	S	175	0.00001	106	0.00001	182	0.00002	96	0.00001	120	0.00001	81	0.00001	126	0.00001	183	0.00001	241	0.00001	0	0.00000	295	0.00002	184	0.00001	175	0.00001	313	0.00001	100	0.00001	3453	0.00006	155	0.00002	201	0.00001	129	0.00001	90	0.00001
Lysobacter gummosus	262324	S	187	0.00001	410	0.00002	220	0.00002	191	0.00002	309	0.00003	264	0.00003	197	0.00001	343	0.00002	305	0.00001	0	0.00000	221	0.00001	156	0.00001	249	0.00002	242	0.00001	201	0.00002	6926	0.00012	81	0.00001	226	0.00002	55	0.00000	165	0.00001
Pseudoxanthomonas sp.	1871049	S	228	0.00001	273	0.00001	268	0.00002	213	0.00002	296	0.00003	220	0.00002	202	0.00001	266	0.00002	254	0.00001	0	0.00000	284	0.00001	299	0.00001	197	0.00001	417	0.00001	169	0.00002	18205	0.00033	87	0.00001	373	0.00003	231	0.00002	135	0.00001
Pseudoxanthomonas sp. SE1	1664560	S	247	0.00001	254	0.00001	248	0.00002	159	0.00002	203	0.00002	247	0.00003	308	0.00002	202	0.00001	322	0.00001	82	0.00000	308	0.00002	238	0.00001	231	0.00002	342	0.00001	198	0.00002	13769	0.00025	112	0.00002	402	0.00003	142	0.00001	155	0.00001
Pseudoxanthomonas sp. JBR18	2969308	S	206	0.00001	264	0.00001	257	0.00002	192	0.00002	215	0.00002	197	0.00002	173	0.00001	216	0.00001	304	0.00001	0	0.00000	319	0.00002	519	0.00002	321	0.00002	840	0.00002	258	0.00002	9085	0.00016	122	0.00002	328	0.00002	244	0.00002	284	0.00003
Pseudoxanthomonas sp. SL93	2995142	S	213	0.00001	196	0.00001	152	0.00001	168	0.00002	136	0.00001	151	0.00002	162	0.00001	185	0.00001	337	0.00001	0	0.00000	234	0.00001	219	0.00001	150	0.00001	313	0.00001	120	0.00001	15436	0.00028	97	0.00001	197	0.00001	97	0.00001	123	0.00001
Pseudoxanthomonas sp. X-1	2571115	S	203	0.00001	257	0.00001	366	0.00003	197	0.00002	224	0.00002	438	0.00005	142	0.00001	357	0.00002	302	0.00001	11	0.00000	485	0.00003	311	0.00001	440	0.00003	421	0.00001	263	0.00002	9394	0.00017	159	0.00002	299	0.00002	213	0.00002	246	0.00002
Pseudoxanthomonas sp. UC19_8	3350175	S	99	0.00001	125	0.00001	115	0.00001	127	0.00001	117	0.00001	103	0.00001	153	0.00001	128	0.00001	143	0.00001	0	0.00000	180	0.00001	206	0.00001	90	0.00001	228	0.00001	85	0.00001	4323	0.00008	75	0.00001	198	0.00001	150	0.00001	71	0.00001
Pseudoxanthomonas mexicana	128785	S	1310	0.00008	1134	0.00005	1178	0.00010	848	0.00009	926	0.00009	1125	0.00012	900	0.00005	1108	0.00007	1735	0.00007	12	0.00000	1499	0.00008	1591	0.00006	1259	0.00009	2094	0.00006	817	0.00007	63934	0.00114	609	0.00008	1560	0.00011	1350	0.00011	883	0.00008
Pseudoxanthomonas suwonensis	314722	S	576	0.00003	406	0.00002	420	0.00004	319	0.00004	290	0.00003	382	0.00004	244	0.00001	491	0.00003	774	0.00003	0	0.00000	615	0.00003	528	0.00002	345	0.00002	807	0.00002	286	0.00003	26536	0.00047	231	0.00003	566	0.00004	363	0.00003	273	0.00002
Pseudoxanthomonas koreensis	266061	S	298	0.00002	169	0.00001	169	0.00001	148	0.00002	156	0.00001	130	0.00001	138	0.00001	159	0.00001	444	0.00002	0	0.00000	285	0.00001	171	0.00001	227	0.00002	217	0.00001	142	0.00001	12718	0.00023	98	0.00001	279	0.00002	228	0.00002	157	0.00001
Pseudoxanthomonas spadix	415229	S	247	0.00001	326	0.00002	289	0.00002	207	0.00002	231	0.00002	233	0.00002	203	0.00001	299	0.00002	367	0.00001	0	0.00000	349	0.00002	320	0.00001	268	0.00002	435	0.00001	237	0.00002	10451	0.00019	128	0.00002	369	0.00003	263	0.00002	206	0.00002
Pseudoxanthomonas daejeonensis	266062	S	187	0.00001	177	0.00001	140	0.00001	117	0.00001	138	0.00001	150	0.00002	153	0.00001	220	0.00001	330	0.00001	0	0.00000	247	0.00001	392	0.00002	226	0.00002	520	0.00002	158	0.00001	42392	0.00076	88	0.00001	285	0.00002	167	0.00001	159	0.00001
Pseudoxanthomonas japonensis	69284	S	296	0.00002	410	0.00002	668	0.00006	322	0.00004	358	0.00003	659	0.00007	303	0.00002	459	0.00003	501	0.00002	0	0.00000	1007	0.00005	1271	0.00005	696	0.00005	1488	0.00004	430	0.00004	28877	0.00052	398	0.00005	1058	0.00008	790	0.00006	675	0.00006
Pseudoxanthomonas winnipegensis	2480810	S	122	0.00001	172	0.00001	229	0.00002	138	0.00002	161	0.00002	237	0.00002	94	0.00001	204	0.00001	156	0.00001	0	0.00000	227	0.00001	135	0.00001	175	0.00001	158	0.00000	150	0.00001	4272	0.00008	82	0.00001	221	0.00002	120	0.00001	209	0.00002
Thermomonas sp. XSG	2771436	S	309	0.00002	355	0.00002	313	0.00003	240	0.00003	281	0.00003	252	0.00003	260	0.00002	295	0.00002	461	0.00002	0	0.00000	384	0.00002	367	0.00001	347	0.00002	512	0.00001	251	0.00002	16015	0.00029	128	0.00002	317	0.00002	337	0.00003	281	0.00002
Thermomonas sp. HDW16	2714945	S	227	0.00001	196	0.00001	155	0.00001	110	0.00001	137	0.00001	173	0.00002	160	0.00001	146	0.00001	367	0.00001	0	0.00000	367	0.00002	448	0.00002	206	0.00001	643	0.00002	161	0.00001	17894	0.00032	156	0.00002	274	0.00002	196	0.00002	149	0.00001
