name	taxonomy_id	taxonomy_lvl	C10_S21_O._num	C10_S21_O._frac	C1_S12_O._num	C1_S12_O._frac	C2_S13_O._num	C2_S13_O._frac	C3_S14_O._num	C3_S14_O._frac	C4_S15_O._num	C4_S15_O._frac	C5_S16_O._num	C5_S16_O._frac	C6_S17_O._num	C6_S17_O._frac	C7_S18_O._num	C7_S18_O._frac	C9_S20_O._num	C9_S20_O._frac	Post_Cntl_O._num	Post_Cntl_O._frac	S10_S11_O._num	S10_S11_O._frac	S1_S2_O._num	S1_S2_O._frac	S2_S3_O._num	S2_S3_O._frac	S3_S4_O._num	S3_S4_O._frac	S4_S5_O._num	S4_S5_O._frac	S5_S6_O._num	S5_S6_O._frac	S6_S7_O._num	S6_S7_O._frac	S7_S8_O._num	S7_S8_O._frac	S8_S9_O._num	S8_S9_O._frac	S9_S10_O._num	S9_S10_O._frac
Desulfovibrionales	213115	O	26130	0.00153	70944	0.00342	86095	0.00741	49945	0.00556	61127	0.00584	70811	0.00737	71189	0.00420	87342	0.00590	33220	0.00134	15	0.00000	115842	0.00608	132701	0.00510	131486	0.00894	187469	0.00541	94726	0.00840	120162	0.00215	45267	0.00609	134794	0.00979	114105	0.00928	97299	0.00864
Geobacterales	3031668	O	6213	0.00036	15864	0.00076	17006	0.00146	11085	0.00123	13216	0.00126	14638	0.00152	12852	0.00076	16696	0.00113	7690	0.00031	0	0.00000	22036	0.00116	18489	0.00071	18081	0.00123	24705	0.00071	12797	0.00113	34195	0.00061	8735	0.00118	22466	0.00163	14537	0.00118	13683	0.00122
Desulfuromonadales	69541	O	5386	0.00032	9474	0.00046	11733	0.00101	7226	0.00080	8195	0.00078	10365	0.00108	8186	0.00048	10386	0.00070	6580	0.00026	13	0.00000	14136	0.00074	13396	0.00051	13169	0.00090	17926	0.00052	8338	0.00074	18756	0.00034	5620	0.00076	16072	0.00117	10309	0.00084	9548	0.00085
Desulfobacterales	213118	O	6538	0.00038	14831	0.00071	15302	0.00132	10171	0.00113	12442	0.00119	12205	0.00127	13411	0.00079	15076	0.00102	8350	0.00034	0	0.00000	19178	0.00101	18402	0.00071	16319	0.00111	24386	0.00070	11534	0.00102	24416	0.00044	7628	0.00103	20487	0.00149	13609	0.00111	12297	0.00109
Desulfobulbales	3024411	O	3690	0.00022	7275	0.00035	7600	0.00065	5054	0.00056	6016	0.00057	6518	0.00068	6861	0.00040	7290	0.00049	4666	0.00019	34	0.00000	10669	0.00056	10668	0.00041	8445	0.00057	14318	0.00041	5939	0.00053	12006	0.00021	4323	0.00058	9591	0.00070	6996	0.00057	6273	0.00056
Thermodesulfobacteriales	188710	O	856	0.00005	1645	0.00008	1746	0.00015	1124	0.00013	1389	0.00013	1394	0.00015	2222	0.00013	1854	0.00013	1260	0.00005	0	0.00000	3187	0.00017	2076	0.00008	2023	0.00014	2718	0.00008	1371	0.00012	2145	0.00004	1215	0.00016	2079	0.00015	1484	0.00012	1569	0.00014
Desulfarculales	453227	O	916	0.00005	2564	0.00012	2578	0.00022	1867	0.00021	2325	0.00022	2097	0.00022	1735	0.00010	2239	0.00015	1120	0.00005	0	0.00000	2834	0.00015	3823	0.00015	2580	0.00018	5308	0.00015	1866	0.00017	5655	0.00010	1194	0.00016	3729	0.00027	2599	0.00021	1903	0.00017
Syntrophales	2914038	O	450	0.00003	1364	0.00007	1418	0.00012	914	0.00010	1151	0.00011	1191	0.00012	966	0.00006	1324	0.00009	621	0.00002	0	0.00000	1588	0.00008	1372	0.00005	1303	0.00009	1783	0.00005	985	0.00009	2378	0.00004	586	0.00008	1749	0.00013	1052	0.00009	1001	0.00009
Syntrophobacterales	213462	O	453	0.00003	1259	0.00006	1262	0.00011	935	0.00010	993	0.00009	1197	0.00012	955	0.00006	1155	0.00008	537	0.00002	0	0.00000	1654	0.00009	1223	0.00005	1152	0.00008	1728	0.00005	733	0.00006	2533	0.00005	703	0.00009	1720	0.00012	1080	0.00009	888	0.00008
Desulfomonilales	3031657	O	225	0.00001	716	0.00003	671	0.00006	442	0.00005	676	0.00006	513	0.00005	570	0.00003	735	0.00005	346	0.00001	0	0.00000	847	0.00004	1084	0.00004	888	0.00006	1305	0.00004	588	0.00005	805	0.00001	330	0.00004	1419	0.00010	828	0.00007	616	0.00005
Desulfobaccales	3031655	O	191	0.00001	483	0.00002	538	0.00005	370	0.00004	515	0.00005	441	0.00005	455	0.00003	594	0.00004	247	0.00001	0	0.00000	566	0.00003	716	0.00003	631	0.00004	1046	0.00003	480	0.00004	951	0.00002	235	0.00003	770	0.00006	442	0.00004	441	0.00004
Candidatus Desulfofervidales	3031460	O	173	0.00001	226	0.00001	257	0.00002	147	0.00002	198	0.00002	186	0.00002	290	0.00002	268	0.00002	223	0.00001	0	0.00000	224	0.00001	455	0.00002	161	0.00001	607	0.00002	94	0.00001	508	0.00001	92	0.00001	220	0.00002	126	0.00001	162	0.00001
Spirochaetales	136	O	37613	0.00221	48354	0.00233	49980	0.00430	32378	0.00360	41674	0.00398	41325	0.00430	118304	0.00698	67739	0.00457	39633	0.00159	37	0.00000	462419	0.02428	803803	0.03089	86840	0.00591	691397	0.01996	56868	0.00504	62582	0.00112	167384	0.02253	141983	0.01031	108758	0.00885	71178	0.00632
Brachyspirales	1643686	O	4649	0.00027	4864	0.00023	4997	0.00043	3401	0.00038	4029	0.00038	4123	0.00043	6712	0.00040	6118	0.00041	5299	0.00021	0	0.00000	8637	0.00045	7961	0.00031	5625	0.00038	9733	0.00028	3620	0.00032	5301	0.00009	3364	0.00045	5284	0.00038	4108	0.00033	4918	0.00044
Leptospirales	1643688	O	2912	0.00017	4811	0.00023	5290	0.00046	3125	0.00035	3902	0.00037	4264	0.00044	5810	0.00034	5512	0.00037	3886	0.00016	0	0.00000	7325	0.00038	7464	0.00029	5178	0.00035	9111	0.00026	3545	0.00031	7356	0.00013	2879	0.00039	5383	0.00039	4692	0.00038	4414	0.00039
Brevinematales	1643687	O	202	0.00001	369	0.00002	388	0.00003	204	0.00002	270	0.00003	329	0.00003	425	0.00003	483	0.00003	257	0.00001	0	0.00000	492	0.00003	179	0.00001	467	0.00003	224	0.00001	302	0.00003	590	0.00001	221	0.00003	495	0.00004	331	0.00003	305	0.00003
Pirellulales	2691354	O	6179	0.00036	11872	0.00057	12266	0.00106	7542	0.00084	9643	0.00092	10488	0.00109	10649	0.00063	16971	0.00115	7718	0.00031	0	0.00000	16383	0.00086	12642	0.00049	17546	0.00119	17543	0.00051	12200	0.00108	61611	0.00110	6617	0.00089	15736	0.00114	7918	0.00064	13209	0.00117
Planctomycetales	112	O	5267	0.00031	10811	0.00052	11263	0.00097	7341	0.00082	9256	0.00088	9602	0.00100	9003	0.00053	14840	0.00100	6652	0.00027	0	0.00000	12222	0.00064	12334	0.00047	12246	0.00083	16062	0.00046	8506	0.00075	49542	0.00089	4905	0.00066	12690	0.00092	7115	0.00058	9075	0.00081
Isosphaerales	2691356	O	2592	0.00015	5157	0.00025	5047	0.00043	3452	0.00038	4093	0.00039	4528	0.00047	3786	0.00022	7513	0.00051	3149	0.00013	0	0.00000	6171	0.00032	6919	0.00027	6637	0.00045	9959	0.00029	4751	0.00042	68489	0.00122	2365	0.00032	6747	0.00049	4183	0.00034	4925	0.00044
Gemmatales	2691355	O	2479	0.00015	5273	0.00025	5201	0.00045	3502	0.00039	4177	0.00040	4458	0.00046	3787	0.00022	6801	0.00046	2951	0.00012	0	0.00000	6735	0.00035	6118	0.00024	5848	0.00040	8194	0.00024	4153	0.00037	33327	0.00060	2597	0.00035	6564	0.00048	3694	0.00030	4420	0.00039
Kolteriales	3444225	O	205	0.00001	480	0.00002	494	0.00004	316	0.00004	340	0.00003	393	0.00004	363	0.00002	551	0.00004	228	0.00001	0	0.00000	491	0.00003	583	0.00002	535	0.00004	715	0.00002	361	0.00003	1607	0.00003	188	0.00003	642	0.00005	300	0.00002	390	0.00003
Sedimentisphaerales	2483366	O	1133	0.00007	2969	0.00014	3069	0.00026	1882	0.00021	2394	0.00023	2280	0.00024	2559	0.00015	3042	0.00021	1416	0.00006	0	0.00000	3429	0.00018	2502	0.00010	3362	0.00023	3464	0.00010	2395	0.00021	3931	0.00007	1401	0.00019	3303	0.00024	2599	0.00021	2612	0.00023
Phycisphaerales	666506	O	841	0.00005	1538	0.00007	1518	0.00013	1087	0.00012	1206	0.00012	1265	0.00013	1358	0.00008	1698	0.00011	954	0.00004	56	0.00000	2529	0.00013	1831	0.00007	1886	0.00013	2405	0.00007	1474	0.00013	4394	0.00008	983	0.00013	1821	0.00013	1403	0.00011	1568	0.00014
Tepidisphaerales	1771349	O	480	0.00003	1279	0.00006	1404	0.00012	871	0.00010	1055	0.00010	1170	0.00012	1072	0.00006	1732	0.00012	623	0.00003	0	0.00000	2036	0.00011	1647	0.00006	1700	0.00012	2319	0.00007	1227	0.00011	7181	0.00013	760	0.00010	1937	0.00014	1198	0.00010	1314	0.00012
Candidatus Uabimicrobiales	2897347	O	650	0.00004	942	0.00005	988	0.00009	604	0.00007	772	0.00007	766	0.00008	1329	0.00008	1089	0.00007	1048	0.00004	0	0.00000	1531	0.00008	1814	0.00007	989	0.00007	2142	0.00006	676	0.00006	1522	0.00003	610	0.00008	834	0.00006	882	0.00007	833	0.00007
Candidatus Brocadiales	1127829	O	370	0.00002	389	0.00002	425	0.00004	240	0.00003	294	0.00003	316	0.00003	535	0.00003	404	0.00003	377	0.00002	0	0.00000	604	0.00003	352	0.00001	407	0.00003	471	0.00001	302	0.00003	770	0.00001	237	0.00003	511	0.00004	215	0.00002	308	0.00003
Verrucomicrobiales	48461	O	7750	0.00046	29560	0.00142	22416	0.00193	15205	0.00169	22023	0.00210	21534	0.00224	50152	0.00296	20855	0.00141	9386	0.00038	0	0.00000	129269	0.00679	29743	0.00114	70070	0.00477	40996	0.00118	52654	0.00467	55216	0.00099	53404	0.00719	69091	0.00502	16349	0.00133	53227	0.00473
Limisphaerales	134621	O	174	0.00001	729	0.00004	716	0.00006	440	0.00005	557	0.00005	613	0.00006	631	0.00004	754	0.00005	208	0.00001	16	0.00000	1325	0.00007	659	0.00003	955	0.00006	851	0.00002	610	0.00005	1395	0.00002	511	0.00007	1149	0.00008	314	0.00003	701	0.00006
Opitutales	415000	O	3769	0.00022	7891	0.00038	7815	0.00067	5337	0.00059	6281	0.00060	6818	0.00071	7448	0.00044	10409	0.00070	4489	0.00018	10	0.00000	12926	0.00068	10641	0.00041	12586	0.00086	14439	0.00042	8757	0.00078	44014	0.00079	5303	0.00071	11961	0.00087	5575	0.00045	9628	0.00086
Puniceicoccales	415001	O	1565	0.00009	2604	0.00013	2704	0.00023	1629	0.00018	2358	0.00023	2694	0.00028	2946	0.00017	3295	0.00022	2034	0.00008	0	0.00000	4985	0.00026	2342	0.00009	3852	0.00026	3215	0.00009	2689	0.00024	5880	0.00011	1966	0.00026	3514	0.00026	2738	0.00022	2997	0.00027
Methylacidiphilales	717963	O	896	0.00005	1180	0.00006	1259	0.00011	738	0.00008	919	0.00009	489	0.00005	1002	0.00006	1367	0.00009	1051	0.00004	0	0.00000	679	0.00004	1060	0.00004	1224	0.00008	1478	0.00004	781	0.00007	780	0.00001	282	0.00004	1449	0.00011	289	0.00002	889	0.00008
Parachlamydiales	1963360	O	1666	0.00010	2199	0.00011	2331	0.00020	1329	0.00015	1745	0.00017	1779	0.00019	2513	0.00015	3061	0.00021	2058	0.00008	0	0.00000	2377	0.00012	1965	0.00008	2204	0.00015	2288	0.00007	1455	0.00013	2661	0.00005	974	0.00013	2437	0.00018	1446	0.00012	1789	0.00016
Chlamydiales	51291	O	1264	0.00007	2056	0.00010	2193	0.00019	1342	0.00015	1641	0.00016	1745	0.00018	2536	0.00015	2426	0.00016	1748	0.00007	0	0.00000	3055	0.00016	2265	0.00009	2272	0.00015	2663	0.00008	1462	0.00013	3726	0.00007	1190	0.00016	2109	0.00015	1459	0.00012	3119	0.00028
Tichowtungiales	2907185	O	338	0.00002	1446	0.00007	1585	0.00014	992	0.00011	1295	0.00012	1374	0.00014	1131	0.00007	1906	0.00013	468	0.00002	0	0.00000	1082	0.00006	971	0.00004	1703	0.00012	1199	0.00003	1146	0.00010	2413	0.00004	417	0.00006	1838	0.00013	752	0.00006	1235	0.00011
Kiritimatiellales	1921782	O	447	0.00003	1568	0.00008	2132	0.00018	1066	0.00012	1790	0.00017	1744	0.00018	1132	0.00007	2843	0.00019	579	0.00002	0	0.00000	1854	0.00010	1946	0.00007	2949	0.00020	2323	0.00007	1962	0.00017	4335	0.00008	703	0.00009	2874	0.00021	1072	0.00009	2164	0.00019
Lentisphaerales	278081	O	591	0.00003	1265	0.00006	1200	0.00010	775	0.00009	985	0.00009	1121	0.00012	1261	0.00007	1562	0.00011	677	0.00003	0	0.00000	1057	0.00006	322	0.00001	1202	0.00008	419	0.00001	860	0.00008	602	0.00001	423	0.00006	1138	0.00008	804	0.00007	944	0.00008
Myxococcales	29	O	9584	0.00056	18707	0.00090	17480	0.00150	13061	0.00145	14094	0.00135	15637	0.00163	13370	0.00079	21876	0.00148	11603	0.00047	14	0.00000	23056	0.00121	30007	0.00115	20458	0.00139	41592	0.00120	14977	0.00133	112153	0.00200	9280	0.00125	25150	0.00183	16000	0.00130	14826	0.00132
Polyangiales	3031712	O	3646	0.00021	6589	0.00032	6492	0.00056	4808	0.00053	4798	0.00046	5929	0.00062	4432	0.00026	8109	0.00055	4639	0.00019	0	0.00000	7268	0.00038	9655	0.00037	7047	0.00048	13031	0.00038	5015	0.00044	96480	0.00172	2739	0.00037	7700	0.00056	4968	0.00040	5018	0.00045
Nannocystales	3031713	O	908	0.00005	1494	0.00007	1351	0.00012	932	0.00010	1038	0.00010	1087	0.00011	913	0.00005	1770	0.00012	1141	0.00005	0	0.00000	1723	0.00009	1678	0.00006	1455	0.00010	2299	0.00007	1117	0.00010	45003	0.00080	646	0.00009	1878	0.00014	1253	0.00010	1078	0.00010
Haliangiales	3031714	O	325	0.00002	843	0.00004	767	0.00007	557	0.00006	548	0.00005	605	0.00006	585	0.00003	824	0.00006	429	0.00002	0	0.00000	820	0.00004	1190	0.00005	617	0.00004	1604	0.00005	472	0.00004	5935	0.00011	342	0.00005	949	0.00007	539	0.00004	477	0.00004
Terriglobales	204433	O	5446	0.00032	13088	0.00063	12941	0.00111	8941	0.00099	10689	0.00102	10557	0.00110	11172	0.00066	13061	0.00088	7196	0.00029	0	0.00000	16139	0.00085	20641	0.00079	13817	0.00094	28333	0.00082	9821	0.00087	34274	0.00061	6460	0.00087	17406	0.00126	10566	0.00086	10181	0.00090
Bryobacterales	332160	O	285	0.00002	768	0.00004	777	0.00007	508	0.00006	581	0.00006	595	0.00006	586	0.00003	849	0.00006	361	0.00001	0	0.00000	934	0.00005	696	0.00003	994	0.00007	946	0.00003	700	0.00006	2656	0.00005	369	0.00005	1010	0.00007	505	0.00004	723	0.00006
Holophagales	574975	O	1922	0.00011	5197	0.00025	5090	0.00044	3565	0.00040	4348	0.00042	4198	0.00044	4168	0.00025	4985	0.00034	2316	0.00009	0	0.00000	7290	0.00038	8556	0.00033	5940	0.00040	11694	0.00034	4593	0.00041	13948	0.00025	2785	0.00037	8008	0.00058	5618	0.00046	4277	0.00038
Acanthopleuribacterales	533206	O	383	0.00002	776	0.00004	787	0.00007	547	0.00006	679	0.00006	622	0.00006	616	0.00004	781	0.00005	455	0.00002	0	0.00000	1058	0.00006	754	0.00003	738	0.00005	1083	0.00003	617	0.00005	1885	0.00003	409	0.00006	1107	0.00008	733	0.00006	611	0.00005
Thermotomaculales	2562243	O	235	0.00001	375	0.00002	390	0.00003	234	0.00003	303	0.00003	307	0.00003	516	0.00003	492	0.00003	382	0.00002	0	0.00000	425	0.00002	633	0.00002	414	0.00003	744	0.00002	297	0.00003	437	0.00001	167	0.00002	350	0.00003	212	0.00002	313	0.00003
Vicinamibacterales	2910145	O	699	0.00004	1437	0.00007	1337	0.00012	1012	0.00011	1172	0.00011	1163	0.00012	948	0.00006	1679	0.00011	971	0.00004	0	0.00000	1612	0.00008	1459	0.00006	1440	0.00010	2035	0.00006	986	0.00009	21064	0.00038	596	0.00008	1929	0.00014	1133	0.00009	989	0.00009
Bdellovibrionales	213481	O	3918	0.00023	7148	0.00034	7370	0.00063	4783	0.00053	5873	0.00056	5761	0.00060	7398	0.00044	7791	0.00053	5680	0.00023	0	0.00000	8758	0.00046	7157	0.00028	8705	0.00059	9058	0.00026	5354	0.00047	10872	0.00019	3419	0.00046	7667	0.00056	5359	0.00044	6280	0.00056
Bacteriovoracales	2024979	O	2687	0.00016	1903	0.00009	2026	0.00017	1190	0.00013	1529	0.00015	1573	0.00016	2111	0.00012	2103	0.00014	4996	0.00020	0	0.00000	2445	0.00013	3260	0.00013	1775	0.00012	3769	0.00011	1086	0.00010	5675	0.00010	1052	0.00014	1901	0.00014	1339	0.00011	1343	0.00012
Silvanigrellales	2024973	O	935	0.00005	1287	0.00006	1500	0.00013	862	0.00010	1070	0.00010	1013	0.00011	2110	0.00012	1612	0.00011	1270	0.00005	0	0.00000	2789	0.00015	1527	0.00006	1712	0.00012	2274	0.00007	1248	0.00011	1684	0.00003	1048	0.00014	1543	0.00011	1262	0.00010	1620	0.00014
Deferribacterales	191393	O	2308	0.00014	3316	0.00016	3512	0.00030	2225	0.00025	2549	0.00024	2771	0.00029	4177	0.00025	3668	0.00025	2847	0.00011	0	0.00000	4780	0.00025	4156	0.00016	3769	0.00026	5392	0.00016	2506	0.00022	4225	0.00008	1861	0.00025	3645	0.00026	3005	0.00024	2918	0.00026
Nitrospirales	189778	O	1234	0.00007	2447	0.00012	2629	0.00023	1725	0.00019	1940	0.00019	2117	0.00022	2312	0.00014	2653	0.00018	1468	0.00006	248	0.00000	3277	0.00017	3354	0.00013	2690	0.00018	4261	0.00012	1832	0.00016	6036	0.00011	1327	0.00018	2671	0.00019	2099	0.00017	1984	0.00018
Thermodesulfovibrionales	2811503	O	983	0.00006	1555	0.00007	1607	0.00014	1040	0.00012	1318	0.00013	1251	0.00013	1816	0.00011	1723	0.00012	1413	0.00006	0	0.00000	2245	0.00012	1911	0.00007	1636	0.00011	2630	0.00008	1112	0.00010	2006	0.00004	924	0.00012	1808	0.00013	1281	0.00010	1406	0.00012
Aquificales	32069	O	1374	0.00008	2809	0.00014	2528	0.00022	1711	0.00019	2103	0.00020	2023	0.00021	3003	0.00018	2829	0.00019	1885	0.00008	0	0.00000	3111	0.00016	3395	0.00013	2622	0.00018	4265	0.00012	1679	0.00015	3732	0.00007	1185	0.00016	2805	0.00020	1811	0.00015	2153	0.00019
Desulfurobacteriales	1485951	O	452	0.00003	904	0.00004	926	0.00008	563	0.00006	721	0.00007	748	0.00008	877	0.00005	956	0.00006	582	0.00002	0	0.00000	1514	0.00008	1432	0.00006	953	0.00006	1894	0.00005	656	0.00006	958	0.00002	618	0.00008	1084	0.00008	751	0.00006	811	0.00007
Elusimicrobiales	641854	O	637	0.00004	1801	0.00009	1965	0.00017	1088	0.00012	1202	0.00011	1402	0.00015	1938	0.00011	1817	0.00012	792	0.00003	0	0.00000	1707	0.00009	1438	0.00006	1925	0.00013	1974	0.00006	1290	0.00011	3192	0.00006	693	0.00009	5617	0.00041	1334	0.00011	1417	0.00013
Endomicrobiales	1783344	O	420	0.00002	873	0.00004	1011	0.00009	555	0.00006	718	0.00007	774	0.00008	1009	0.00006	831	0.00006	576	0.00002	0	0.00000	1419	0.00007	1316	0.00005	1024	0.00007	1705	0.00005	750	0.00007	888	0.00002	549	0.00007	1119	0.00008	809	0.00007	805	0.00007
Atribacterales	2847775	O	553	0.00003	1016	0.00005	1092	0.00009	747	0.00008	878	0.00008	907	0.00009	987	0.00006	1094	0.00007	742	0.00003	0	0.00000	1197	0.00006	1042	0.00004	1016	0.00007	1426	0.00004	668	0.00006	1657	0.00003	422	0.00006	1139	0.00008	644	0.00005	750	0.00007
Chrysiogenales	189769	O	599	0.00004	621	0.00003	911	0.00008	546	0.00006	647	0.00006	846	0.00009	656	0.00004	731	0.00005	693	0.00003	0	0.00000	1468	0.00008	1077	0.00004	1278	0.00009	1273	0.00004	776	0.00007	1373	0.00002	607	0.00008	1229	0.00009	824	0.00007	868	0.00008
Dictyoglomales	203487	O	404	0.00002	633	0.00003	739	0.00006	436	0.00005	546	0.00005	555	0.00006	753	0.00004	785	0.00005	647	0.00003	0	0.00000	937	0.00005	781	0.00003	731	0.00005	1019	0.00003	462	0.00004	747	0.00001	387	0.00005	729	0.00005	435	0.00004	609	0.00005
Sphaerobacterales	85001	O	283	0.00002	622	0.00003	535	0.00005	402	0.00004	400	0.00004	437	0.00005	344	0.00002	499	0.00003	385	0.00002	0	0.00000	562	0.00003	640	0.00002	618	0.00004	972	0.00003	469	0.00004	3342	0.00006	228	0.00003	629	0.00005	410	0.00003	494	0.00004
Thermomicrobiales	189776	O	113	0.00001	244	0.00001	244	0.00002	170	0.00002	179	0.00002	209	0.00002	153	0.00001	278	0.00002	131	0.00001	0	0.00000	401	0.00002	305	0.00001	342	0.00002	410	0.00001	205	0.00002	1030	0.00002	169	0.00002	323	0.00002	160	0.00001	211	0.00002
Thermodesulfobiales	3002444	O	316	0.00002	424	0.00002	412	0.00004	271	0.00003	351	0.00003	417	0.00004	550	0.00003	450	0.00003	448	0.00002	0	0.00000	799	0.00004	700	0.00003	447	0.00003	780	0.00002	231	0.00002	468	0.00001	303	0.00004	405	0.00003	315	0.00003	332	0.00003
Calditrichales	1962852	O	247	0.00001	519	0.00003	477	0.00004	323	0.00004	365	0.00003	434	0.00005	601	0.00004	576	0.00004	302	0.00001	0	0.00000	641	0.00003	545	0.00002	694	0.00005	751	0.00002	534	0.00005	1081	0.00002	253	0.00003	732	0.00005	393	0.00003	483	0.00004
Caldisericales	693072	O	213	0.00001	263	0.00001	264	0.00002	156	0.00002	220	0.00002	222	0.00002	322	0.00002	329	0.00002	268	0.00001	0	0.00000	431	0.00002	488	0.00002	235	0.00002	615	0.00002	159	0.00001	262	0.00000	150	0.00002	241	0.00002	242	0.00002	198	0.00002
Nitrospinales	1293499	O	197	0.00001	579	0.00003	533	0.00005	314	0.00003	432	0.00004	457	0.00005	344	0.00002	497	0.00003	250	0.00001	0	0.00000	718	0.00004	809	0.00003	634	0.00004	1080	0.00003	510	0.00005	1306	0.00002	305	0.00004	997	0.00007	528	0.00004	486	0.00004
Thermosulfidibacterales	3120453	O	167	0.00001	268	0.00001	245	0.00002	176	0.00002	184	0.00002	210	0.00002	361	0.00002	329	0.00002	217	0.00001	0	0.00000	391	0.00002	309	0.00001	274	0.00002	383	0.00001	226	0.00002	324	0.00001	173	0.00002	463	0.00003	214	0.00002	237	0.00002
Coprothermobacterales	2138246	O	71	0.00000	140	0.00001	205	0.00002	140	0.00002	180	0.00002	172	0.00002	147	0.00001	203	0.00001	86	0.00000	0	0.00000	162	0.00001	563	0.00002	149	0.00001	598	0.00002	97	0.00001	230	0.00000	52	0.00001	171	0.00001	121	0.00001	117	0.00001
Mycobacteriales	85007	O	2131209	0.12513	1206704	0.05813	171817	0.01478	361338	0.04020	158603	0.01515	143020	0.01489	203315	0.01200	318876	0.02153	2724792	0.10952	732	0.00001	392731	0.02062	221353	0.00851	143978	0.00979	260959	0.00753	493576	0.04375	2680914	0.04791	130144	0.01752	170465	0.01238	135106	0.01099	109594	0.00974
Micrococcales	85006	O	825006	0.04844	432779	0.02085	192374	0.01655	242583	0.02699	226831	0.02167	178850	0.01862	361924	0.02136	317809	0.02146	1395659	0.05610	211	0.00000	238471	0.01252	255864	0.00983	192365	0.01308	349244	0.01008	200450	0.01777	6360548	0.11368	98690	0.01329	226191	0.01642	160548	0.01306	136429	0.01212
Propionibacteriales	85009	O	363978	0.02137	69168	0.00333	48259	0.00415	46220	0.00514	43086	0.00412	45700	0.00476	37729	0.00223	56820	0.00384	459694	0.01848	83	0.00000	58155	0.00305	67173	0.00258	50522	0.00344	92806	0.00268	36252	0.00321	3766342	0.06731	22917	0.00309	60088	0.00436	42963	0.00350	37179	0.00330
Kitasatosporales	85011	O	213086	0.01251	219946	0.01060	210386	0.01810	155847	0.01734	166909	0.01595	185337	0.01929	145833	0.00861	230527	0.01557	277983	0.01117	619	0.00001	247655	0.01300	317157	0.01219	213373	0.01451	443892	0.01282	151517	0.01343	2284221	0.04082	100362	0.01351	262467	0.01906	185669	0.01510	153927	0.01367
Actinomycetales	2037	O	77132	0.00453	56182	0.00271	34690	0.00298	26553	0.00295	28803	0.00275	33668	0.00350	27908	0.00165	31431	0.00212	116945	0.00470	29	0.00000	40956	0.00215	43504	0.00167	39709	0.00270	59679	0.00172	29145	0.00258	259032	0.00463	16222	0.00218	38513	0.00280	30483	0.00248	32426	0.00288
Pseudonocardiales	85010	O	48148	0.00283	48637	0.00234	39445	0.00339	28605	0.00318	30256	0.00289	35859	0.00373	26330	0.00155	40371	0.00273	60402	0.00243	56	0.00000	42352	0.00222	57214	0.00220	36604	0.00249	80389	0.00232	26546	0.00235	526971	0.00942	16675	0.00224	44094	0.00320	30661	0.00249	26811	0.00238
Micromonosporales	85008	O	46997	0.00276	47808	0.00230	41419	0.00356	31851	0.00354	35079	0.00335	37350	0.00389	30080	0.00177	55234	0.00373	61337	0.00247	121	0.00000	52418	0.00275	68437	0.00263	41485	0.00282	95578	0.00276	30388	0.00269	735915	0.01315	20348	0.00274	52748	0.00383	37546	0.00305	29830	0.00265
Bifidobacteriales	85004	O	33784	0.00198	49907	0.00240	47527	0.00409	34869	0.00388	40043	0.00383	42434	0.00442	46120	0.00272	46960	0.00317	36977	0.00149	36	0.00000	65748	0.00345	651378	0.02503	168810	0.01148	862595	0.02491	92933	0.00824	93074	0.00166	25505	0.00343	86957	0.00631	344007	0.02799	161793	0.01437
Streptosporangiales	85012	O	26137	0.00153	34368	0.00166	26407	0.00227	20559	0.00229	21134	0.00202	24089	0.00251	18570	0.00110	27976	0.00189	33387	0.00134	172	0.00000	30876	0.00162	39541	0.00152	24951	0.00170	55467	0.00160	17979	0.00159	293514	0.00525	12145	0.00163	30822	0.00224	21931	0.00178	17768	0.00158
Geodermatophilales	1643682	O	3655	0.00021	2833	0.00014	2542	0.00022	2067	0.00023	2174	0.00021	2243	0.00023	1737	0.00010	2863	0.00019	4945	0.00020	19	0.00000	3025	0.00016	3960	0.00015	2458	0.00017	5351	0.00015	1787	0.00016	62881	0.00112	1309	0.00018	3207	0.00023	2594	0.00021	1800	0.00016
Frankiales	85013	O	2506	0.00015	2802	0.00013	2526	0.00022	1874	0.00021	1910	0.00018	2356	0.00025	1846	0.00011	2773	0.00019	3359	0.00014	0	0.00000	2731	0.00014	4174	0.00016	2429	0.00017	5749	0.00017	1907	0.00017	34401	0.00061	1191	0.00016	2867	0.00021	2013	0.00016	1816	0.00016
Candidatus Nanopelagicales	2039638	O	1823	0.00011	2468	0.00012	2535	0.00022	1617	0.00018	1960	0.00019	1904	0.00020	2678	0.00016	2538	0.00017	2877	0.00012	0	0.00000	2511	0.00013	3038	0.00012	2310	0.00016	3564	0.00010	1585	0.00014	3014	0.00005	1033	0.00014	1961	0.00014	1544	0.00013	1636	0.00015
Nakamurellales	1643684	O	1820	0.00011	1605	0.00008	1547	0.00013	1119	0.00012	1292	0.00012	1323	0.00014	1105	0.00007	1856	0.00013	2402	0.00010	0	0.00000	2007	0.00011	2560	0.00010	1747	0.00012	3598	0.00010	1352	0.00012	23514	0.00042	777	0.00010	2017	0.00015	1372	0.00011	1419	0.00013
