name	taxonomy_id	taxonomy_lvl	C10_S21_C._num	C10_S21_C._frac	C1_S12_C._num	C1_S12_C._frac	C2_S13_C._num	C2_S13_C._frac	C3_S14_C._num	C3_S14_C._frac	C4_S15_C._num	C4_S15_C._frac	C5_S16_C._num	C5_S16_C._frac	C6_S17_C._num	C6_S17_C._frac	C7_S18_C._num	C7_S18_C._frac	C9_S20_C._num	C9_S20_C._frac	Post_Cntl_C._num	Post_Cntl_C._frac	S10_S11_C._num	S10_S11_C._frac	S1_S2_C._num	S1_S2_C._frac	S2_S3_C._num	S2_S3_C._frac	S3_S4_C._num	S3_S4_C._frac	S4_S5_C._num	S4_S5_C._frac	S5_S6_C._num	S5_S6_C._frac	S6_S7_C._num	S6_S7_C._frac	S7_S8_C._num	S7_S8_C._frac	S8_S9_C._num	S8_S9_C._frac	S9_S10_C._num	S9_S10_C._frac
Clostridia	186801	C	1791866	0.10520	3642208	0.17544	3680651	0.31663	2550080	0.28370	3039269	0.29035	3014147	0.31371	4232861	0.24975	4297097	0.29014	2383740	0.09580	798	0.00002	5792645	0.30414	9579801	0.36813	4014459	0.27299	12910309	0.37275	2883934	0.25561	4984638	0.08909	2282862	0.30728	4536832	0.32939	3998829	0.32530	3141369	0.27903
Bacilli	91061	C	1337618	0.07853	1641338	0.07906	1349323	0.11608	1083630	0.12056	1213783	0.11596	953609	0.09925	2362054	0.13937	1686663	0.11388	2075894	0.08343	10971	0.00021	1843880	0.09681	1420285	0.05458	1147062	0.07800	1852711	0.05349	1047142	0.09281	2085583	0.03727	690123	0.09289	1085969	0.07885	934204	0.07600	898459	0.07981
Tissierellia	1737404	C	99036	0.00581	68890	0.00332	76788	0.00661	48880	0.00544	60053	0.00574	60704	0.00632	80744	0.00476	75957	0.00513	123904	0.00498	129	0.00000	103321	0.00542	103819	0.00399	76750	0.00522	135733	0.00392	48525	0.00430	77183	0.00138	41961	0.00565	83802	0.00608	58533	0.00476	62854	0.00558
Erysipelotrichia	526524	C	97536	0.00573	105543	0.00508	112176	0.00965	78013	0.00868	91712	0.00876	96028	0.00999	207516	0.01224	141503	0.00955	149445	0.00601	27	0.00000	168500	0.00885	330618	0.01270	103459	0.00704	455731	0.01316	71609	0.00635	121632	0.00217	67699	0.00911	83871	0.00609	145239	0.01182	94810	0.00842
Negativicutes	909932	C	43744	0.00257	104417	0.00503	101693	0.00875	70381	0.00783	86129	0.00823	84481	0.00879	103581	0.00611	103264	0.00697	58033	0.00233	21	0.00000	163116	0.00856	187721	0.00721	174148	0.01184	246723	0.00712	105344	0.00934	346270	0.00619	65717	0.00885	137672	0.01000	99329	0.00808	111027	0.00986
Limnochordia	1676648	C	2119	0.00012	5100	0.00025	5004	0.00043	2950	0.00033	3514	0.00034	3626	0.00038	4434	0.00026	4956	0.00033	2496	0.00010	0	0.00000	5752	0.00030	5249	0.00020	4692	0.00032	8658	0.00025	3270	0.00029	8846	0.00016	2286	0.00031	5035	0.00037	4315	0.00035	3653	0.00032
Dethiobacteria	3086086	C	386	0.00002	669	0.00003	655	0.00006	907	0.00010	1110	0.00011	1097	0.00011	714	0.00004	665	0.00004	444	0.00002	0	0.00000	903	0.00005	2063	0.00008	663	0.00005	1052	0.00003	484	0.00004	1351	0.00002	367	0.00005	1732	0.00013	462	0.00004	543	0.00005
Mollicutes	31969	C	392667	0.02305	73490	0.00354	69263	0.00596	43105	0.00480	53763	0.00514	54347	0.00566	73986	0.00437	68519	0.00463	619654	0.02490	288	0.00001	109406	0.00574	112111	0.00431	50124	0.00341	151270	0.00437	31352	0.00278	94680	0.00169	44239	0.00595	59345	0.00431	67081	0.00546	45166	0.00401
Candidatus Izimaplasma	1912503	C	4493	0.00026	3115	0.00015	3847	0.00033	2311	0.00026	2768	0.00026	2655	0.00028	3433	0.00020	3092	0.00021	5831	0.00023	0	0.00000	3889	0.00020	3917	0.00015	3011	0.00020	5399	0.00016	1905	0.00017	2832	0.00005	1500	0.00020	2618	0.00019	2854	0.00023	2531	0.00022
Cyanophyceae	3028117	C	44976	0.00264	67305	0.00324	66531	0.00572	44207	0.00492	54626	0.00522	54242	0.00565	76254	0.00450	70121	0.00473	60042	0.00241	266	0.00001	90566	0.00476	84011	0.00323	65185	0.00443	111082	0.00321	44485	0.00394	113892	0.00204	36125	0.00486	79392	0.00576	55909	0.00455	50425	0.00448
Dehalococcoidia	301297	C	2768	0.00016	3822	0.00018	3581	0.00031	2615	0.00029	3584	0.00034	3064	0.00032	3195	0.00019	3522	0.00024	2800	0.00011	27	0.00000	4515	0.00024	6594	0.00025	3854	0.00026	8419	0.00024	2852	0.00025	5271	0.00009	1793	0.00024	4724	0.00034	3067	0.00025	2989	0.00027
Ktedonobacteria	388447	C	1103	0.00006	578	0.00003	477	0.00004	404	0.00004	489	0.00005	449	0.00005	483	0.00003	507	0.00003	1280	0.00005	0	0.00000	578	0.00003	777	0.00003	545	0.00004	985	0.00003	397	0.00004	883	0.00002	194	0.00003	847	0.00006	518	0.00004	388	0.00003
Chloroflexia	32061	C	1075	0.00006	2169	0.00010	2145	0.00018	1435	0.00016	1661	0.00016	1745	0.00018	1815	0.00011	2070	0.00014	1312	0.00005	0	0.00000	2410	0.00013	2194	0.00008	1918	0.00013	2844	0.00008	1322	0.00012	5062	0.00009	941	0.00013	2412	0.00018	1698	0.00014	1377	0.00012
Anaerolineae	292625	C	896	0.00005	2488	0.00012	2539	0.00022	1724	0.00019	2259	0.00022	1914	0.00020	2119	0.00013	2570	0.00017	1028	0.00004	0	0.00000	2941	0.00015	3228	0.00012	2510	0.00017	4361	0.00013	1831	0.00016	4100	0.00007	1153	0.00016	3131	0.00023	2006	0.00016	1898	0.00017
Ardenticatenia	1382928	C	879	0.00005	1616	0.00008	1489	0.00013	1142	0.00013	1305	0.00012	1319	0.00014	1461	0.00009	1491	0.00010	1088	0.00004	0	0.00000	2012	0.00011	1275	0.00005	1789	0.00012	1702	0.00005	1327	0.00012	4258	0.00008	730	0.00010	2123	0.00015	1463	0.00012	1316	0.00012
Tepidiformia	2682225	C	352	0.00002	828	0.00004	825	0.00007	538	0.00006	667	0.00006	700	0.00007	660	0.00004	847	0.00006	458	0.00002	0	0.00000	841	0.00004	1443	0.00006	871	0.00006	1934	0.00006	649	0.00006	3257	0.00006	291	0.00004	970	0.00007	650	0.00005	627	0.00006
Candidatus Thermofontia	2364196	C	330	0.00002	419	0.00002	381	0.00003	270	0.00003	353	0.00003	293	0.00003	331	0.00002	483	0.00003	439	0.00002	0	0.00000	442	0.00002	319	0.00001	370	0.00003	462	0.00001	255	0.00002	783	0.00001	134	0.00002	559	0.00004	371	0.00003	263	0.00002
Caldilineae	475962	C	251	0.00001	720	0.00003	675	0.00006	501	0.00006	574	0.00005	577	0.00006	600	0.00004	714	0.00005	318	0.00001	0	0.00000	1101	0.00006	1315	0.00005	818	0.00006	1710	0.00005	616	0.00005	1760	0.00003	434	0.00006	1029	0.00007	867	0.00007	588	0.00005
Thermoflexia	1495646	C	211	0.00001	536	0.00003	476	0.00004	334	0.00004	433	0.00004	445	0.00005	354	0.00002	456	0.00003	254	0.00001	0	0.00000	796	0.00004	846	0.00003	503	0.00003	1090	0.00003	349	0.00003	1385	0.00002	312	0.00004	606	0.00004	624	0.00005	335	0.00003
Armatimonadia	1042312	C	361	0.00002	1037	0.00005	1111	0.00010	699	0.00008	852	0.00008	864	0.00009	881	0.00005	1189	0.00008	441	0.00002	0	0.00000	939	0.00005	855	0.00003	1101	0.00007	1220	0.00004	798	0.00007	2251	0.00004	380	0.00005	1037	0.00008	840	0.00007	740	0.00007
Fimbriimonadia	1663419	C	182	0.00001	380	0.00002	418	0.00004	282	0.00003	299	0.00003	335	0.00003	275	0.00002	411	0.00003	190	0.00001	0	0.00000	606	0.00003	474	0.00002	654	0.00004	694	0.00002	507	0.00004	1132	0.00002	252	0.00003	601	0.00004	504	0.00004	498	0.00004
Chthonomonadia	1077257	C	111	0.00001	247	0.00001	293	0.00003	183	0.00002	245	0.00002	250	0.00003	265	0.00002	294	0.00002	162	0.00001	0	0.00000	414	0.00002	212	0.00001	326	0.00002	301	0.00001	224	0.00002	396	0.00001	180	0.00002	334	0.00002	265	0.00002	255	0.00002
Vulcanimicrobiia	2829293	C	194	0.00001	400	0.00002	385	0.00003	239	0.00003	263	0.00003	331	0.00003	284	0.00002	424	0.00003	187	0.00001	0	0.00000	393	0.00002	365	0.00001	359	0.00002	519	0.00001	270	0.00002	1534	0.00003	159	0.00002	450	0.00003	349	0.00003	292	0.00003
Fusobacteriia	203490	C	25466	0.00150	32975	0.00159	36274	0.00312	21981	0.00245	28178	0.00269	28926	0.00301	44143	0.00260	39010	0.00263	35294	0.00142	152	0.00000	57538	0.00302	55748	0.00214	52976	0.00360	71959	0.00208	29392	0.00261	40217	0.00072	23423	0.00315	41338	0.00300	31658	0.00258	39422	0.00350
Deinococci	188787	C	7678	0.00045	17664	0.00085	17783	0.00153	12468	0.00139	14612	0.00140	14512	0.00151	14088	0.00083	17038	0.00115	9658	0.00039	0	0.00000	22759	0.00119	27273	0.00105	17360	0.00118	37575	0.00108	12863	0.00114	61186	0.00109	9130	0.00123	23788	0.00173	17129	0.00139	12928	0.00115
Thermotogae	188708	C	6423	0.00038	10026	0.00048	10746	0.00092	6668	0.00074	8056	0.00077	8629	0.00090	11588	0.00068	11097	0.00075	8592	0.00035	0	0.00000	15438	0.00081	13431	0.00052	10766	0.00073	16820	0.00049	6782	0.00060	12232	0.00022	6111	0.00082	11185	0.00081	7930	0.00065	8690	0.00077
Synergistia	649775	C	5002	0.00029	15245	0.00073	14480	0.00125	10185	0.00113	12742	0.00122	12899	0.00134	10596	0.00063	14419	0.00097	5874	0.00024	12	0.00000	18304	0.00096	22818	0.00088	14994	0.00102	31282	0.00090	10848	0.00096	34842	0.00062	7248	0.00098	18906	0.00137	13019	0.00106	11041	0.00098
Candidatus Saccharimonadia	2093818	C	5799	0.00034	2824	0.00014	3969	0.00034	1867	0.00021	1718	0.00016	3346	0.00035	2086	0.00012	2696	0.00018	7792	0.00031	0	0.00000	2797	0.00015	12195	0.00047	1545	0.00011	15537	0.00045	966	0.00009	12922	0.00023	1109	0.00015	1352	0.00010	807	0.00007	1109	0.00010
Candidatus Babeliae	2497643	C	318	0.00002	689	0.00003	528	0.00005	381	0.00004	567	0.00005	467	0.00005	597	0.00004	587	0.00004	759	0.00003	0	0.00000	868	0.00005	359	0.00001	838	0.00006	467	0.00001	242	0.00002	521	0.00001	250	0.00003	573	0.00004	470	0.00004	355	0.00003
Minisyncoccia	3120113	C	337	0.00002	135	0.00001	309	0.00003	239	0.00003	134	0.00001	182	0.00002	172	0.00001	211	0.00001	125	0.00001	0	0.00000	494	0.00003	683	0.00003	386	0.00003	928	0.00003	458	0.00004	308	0.00001	328	0.00004	337	0.00002	119	0.00001	699	0.00006
Candidatus Bipolaricaulia	3121607	C	57	0.00000	163	0.00001	150	0.00001	78	0.00001	111	0.00001	220	0.00002	254	0.00001	335	0.00002	63	0.00000	0	0.00000	161	0.00001	416	0.00002	134	0.00001	596	0.00002	119	0.00001	764	0.00001	67	0.00001	257	0.00002	188	0.00002	102	0.00001
Deltaproteobacteria	28221	C	3321	0.00019	1706	0.00008	1734	0.00015	1280	0.00014	1178	0.00011	1502	0.00016	1518	0.00009	1876	0.00013	3611	0.00015	0	0.00000	1827	0.00010	2009	0.00008	2116	0.00014	2879	0.00008	1422	0.00013	5122	0.00009	726	0.00010	2316	0.00017	1298	0.00011	1512	0.00013
Methanobacteria	183925	C	151036	0.00887	276069	0.01330	340016	0.02925	171748	0.01911	154157	0.01473	378517	0.03940	434882	0.02566	646495	0.04365	225106	0.00905	140	0.00000	1221529	0.06414	667835	0.02566	2111745	0.14360	935506	0.02701	1300606	0.11528	1611144	0.02879	493221	0.06639	570045	0.04139	250579	0.02038	1805387	0.16036
Methanococci	183939	C	2225	0.00013	3197	0.00015	3649	0.00031	2019	0.00022	2459	0.00023	3050	0.00032	5080	0.00030	4597	0.00031	2800	0.00011	0	0.00000	9157	0.00048	3383	0.00013	3441	0.00023	4560	0.00013	2245	0.00020	8905	0.00016	3803	0.00051	4221	0.00031	2597	0.00021	3115	0.00028
Methanopyri	183988	C	32	0.00000	76	0.00000	74	0.00001	45	0.00001	66	0.00001	88	0.00001	51	0.00000	72	0.00000	47	0.00000	0	0.00000	154	0.00001	139	0.00001	78	0.00001	195	0.00001	66	0.00001	251	0.00000	60	0.00001	89	0.00001	72	0.00001	89	0.00001
Halobacteria	183963	C	13282	0.00078	22159	0.00107	20022	0.00172	14724	0.00164	15499	0.00148	17855	0.00186	14224	0.00084	21298	0.00144	16745	0.00067	11	0.00000	22502	0.00118	25603	0.00098	20085	0.00137	35904	0.00104	14611	0.00130	115375	0.00206	8715	0.00117	23485	0.00171	15875	0.00129	14652	0.00130
Methanomicrobia	224756	C	9832	0.00058	13875	0.00067	12255	0.00105	8799	0.00098	17059	0.00163	11167	0.00116	16706	0.00099	14617	0.00099	10767	0.00043	0	0.00000	17050	0.00090	15120	0.00058	12675	0.00086	19570	0.00057	8668	0.00077	23092	0.00041	6666	0.00090	28268	0.00205	8734	0.00071	9546	0.00085
Candidatus Nanohaloarchaea	1051663	C	12	0.00000	34	0.00000	41	0.00000	35	0.00000	33	0.00000	26	0.00000	27	0.00000	48	0.00000	32	0.00000	0	0.00000	33	0.00000	18	0.00000	19	0.00000	31	0.00000	10	0.00000	40	0.00000	16	0.00000	33	0.00000	15	0.00000	0	0.00000
Thermococci	183968	C	1515	0.00009	2853	0.00014	2816	0.00024	1868	0.00021	2220	0.00021	2476	0.00026	2792	0.00016	3175	0.00021	1992	0.00008	0	0.00000	3750	0.00020	4007	0.00015	3092	0.00021	5214	0.00015	2166	0.00019	5398	0.00010	1486	0.00020	3226	0.00023	2094	0.00017	2246	0.00020
Archaeoglobi	183980	C	283	0.00002	511	0.00002	514	0.00004	339	0.00004	377	0.00004	512	0.00005	531	0.00003	611	0.00004	377	0.00002	0	0.00000	521	0.00003	780	0.00003	478	0.00003	1085	0.00003	326	0.00003	1137	0.00002	215	0.00003	754	0.00005	319	0.00003	397	0.00004
Methanonatronarchaeia	171536	C	116	0.00001	157	0.00001	132	0.00001	73	0.00001	123	0.00001	117	0.00001	264	0.00002	173	0.00001	181	0.00001	0	0.00000	252	0.00001	77	0.00000	83	0.00001	112	0.00000	63	0.00001	300	0.00001	103	0.00001	101	0.00001	107	0.00001	82	0.00001
Candidatus Methanoliparia	2545688	C	87	0.00001	76	0.00000	96	0.00001	50	0.00001	54	0.00001	86	0.00001	78	0.00000	111	0.00001	82	0.00000	0	0.00000	89	0.00000	60	0.00000	64	0.00000	65	0.00000	43	0.00000	94	0.00000	30	0.00000	50	0.00000	115	0.00001	65	0.00001
Thermoplasmata	183967	C	898	0.00005	2081	0.00010	1750	0.00015	1432	0.00016	1944	0.00019	1285	0.00013	3253	0.00019	2520	0.00017	1176	0.00005	0	0.00000	1918	0.00010	8499	0.00033	2497	0.00017	10901	0.00031	1846	0.00016	2369	0.00004	823	0.00011	2376	0.00017	1426	0.00012	1929	0.00017
Thermoprotei	183924	C	2783	0.00016	4205	0.00020	3889	0.00033	2609	0.00029	3104	0.00030	3282	0.00034	4744	0.00028	4523	0.00031	3637	0.00015	30	0.00000	5942	0.00031	5001	0.00019	4319	0.00029	6650	0.00019	2703	0.00024	6382	0.00011	2284	0.00031	4127	0.00030	3410	0.00028	3526	0.00031
Candidatus Korarchaeia	3342163	C	13	0.00000	23	0.00000	26	0.00000	17	0.00000	12	0.00000	14	0.00000	15	0.00000	15	0.00000	26	0.00000	0	0.00000	0	0.00000	15	0.00000	24	0.00000	19	0.00000	0	0.00000	28	0.00000	0	0.00000	18	0.00000	0	0.00000	10	0.00000
Nitrososphaeria	1643678	C	1576	0.00009	2197	0.00011	2284	0.00020	1341	0.00015	1624	0.00016	1776	0.00018	2703	0.00016	2544	0.00017	2269	0.00009	0	0.00000	3813	0.00020	2986	0.00011	2361	0.00016	4129	0.00012	1431	0.00013	6044	0.00011	1516	0.00020	2439	0.00018	2132	0.00017	1882	0.00017
Conexivisphaeria	2798274	C	19	0.00000	102	0.00000	48	0.00000	24	0.00000	89	0.00001	36	0.00000	37	0.00000	35	0.00000	29	0.00000	0	0.00000	40	0.00000	19	0.00000	34	0.00000	24	0.00000	26	0.00000	215	0.00000	14	0.00000	28	0.00000	11	0.00000	27	0.00000
Candidatus Micrarchaeia	2885733	C	112	0.00001	75	0.00000	30	0.00000	13	0.00000	54	0.00001	18	0.00000	45	0.00000	37	0.00000	105	0.00000	0	0.00000	17	0.00000	12	0.00000	15	0.00000	18	0.00000	0	0.00000	99	0.00000	0	0.00000	36	0.00000	34	0.00000	10	0.00000
Candidatus Nanohalobia	2856052	C	51	0.00000	44	0.00000	27	0.00000	67	0.00001	43	0.00000	32	0.00000	79	0.00000	77	0.00001	31	0.00000	0	0.00000	79	0.00000	50	0.00000	58	0.00000	62	0.00000	20	0.00000	35	0.00000	26	0.00000	83	0.00001	231	0.00002	29	0.00000
Nanobdellia	2974821	C	50	0.00000	77	0.00000	126	0.00001	66	0.00001	72	0.00001	89	0.00001	109	0.00001	196	0.00001	121	0.00000	0	0.00000	205	0.00001	121	0.00000	127	0.00001	175	0.00001	62	0.00001	255	0.00000	88	0.00001	55	0.00000	39	0.00000	80	0.00001
Promethearchaeia	3366642	C	198	0.00001	259	0.00001	373	0.00003	149	0.00002	202	0.00002	250	0.00003	316	0.00002	289	0.00002	241	0.00001	0	0.00000	428	0.00002	1025	0.00004	247	0.00002	994	0.00003	179	0.00002	427	0.00001	149	0.00002	388	0.00003	296	0.00002	213	0.00002
Mammalia	40674	C	111981	0.00657	194147	0.00935	220659	0.01898	125908	0.01401	153875	0.01470	179978	0.01873	213530	0.01260	264503	0.01786	148126	0.00595	3335	0.00006	348192	0.01828	237632	0.00913	210398	0.01431	327798	0.00946	129798	0.01150	359756	0.00643	139723	0.01881	159168	0.01156	159572	0.01298	189720	0.01685
Sordariomycetes	147550	C	9969	0.00059	15707	0.00076	15059	0.00130	10362	0.00115	12329	0.00118	13049	0.00136	14834	0.00088	16361	0.00110	12650	0.00051	23	0.00000	18650	0.00098	16445	0.00063	15334	0.00104	23154	0.00067	10179	0.00090	45835	0.00082	7308	0.00098	17381	0.00126	12588	0.00102	11621	0.00103
Leotiomycetes	147548	C	606	0.00004	1075	0.00005	1088	0.00009	699	0.00008	801	0.00008	974	0.00010	965	0.00006	1198	0.00008	721	0.00003	0	0.00000	2314	0.00012	921	0.00004	938	0.00006	1299	0.00004	708	0.00006	3223	0.00006	927	0.00012	864	0.00006	819	0.00007	975	0.00009
Eurotiomycetes	147545	C	4112	0.00024	5825	0.00028	6043	0.00052	3367	0.00037	3961	0.00038	6511	0.00068	5381	0.00032	8879	0.00060	5349	0.00021	0	0.00000	7997	0.00042	5876	0.00023	5306	0.00036	8510	0.00025	3549	0.00031	12191	0.00022	3222	0.00043	5494	0.00040	4959	0.00040	4199	0.00037
Dothideomycetes	147541	C	1548	0.00009	2728	0.00013	2398	0.00021	1645	0.00018	2055	0.00020	2172	0.00023	2397	0.00014	2710	0.00018	1996	0.00008	0	0.00000	2966	0.00016	3102	0.00012	2265	0.00015	4152	0.00012	1533	0.00014	10400	0.00019	1188	0.00016	2842	0.00021	2168	0.00018	1691	0.00015
Saccharomycetes	4891	C	6236	0.00037	10137	0.00049	11028	0.00095	6963	0.00077	7890	0.00075	9315	0.00097	11031	0.00065	12121	0.00082	8326	0.00033	27	0.00000	19546	0.00103	13741	0.00053	10742	0.00073	17797	0.00051	7259	0.00064	20397	0.00036	8288	0.00112	9575	0.00070	13635	0.00111	9135	0.00081
Pichiomycetes	3239874	C	3512	0.00021	5295	0.00026	5313	0.00046	3830	0.00043	5086	0.00049	4642	0.00048	6177	0.00036	6362	0.00043	4871	0.00020	360	0.00001	7862	0.00041	5299	0.00020	4876	0.00033	7171	0.00021	3366	0.00030	8511	0.00015	3143	0.00042	4780	0.00035	4229	0.00034	4104	0.00036
Dipodascomycetes	3239873	C	387	0.00002	658	0.00003	743	0.00006	476	0.00005	624	0.00006	562	0.00006	731	0.00004	695	0.00005	499	0.00002	0	0.00000	852	0.00004	717	0.00003	694	0.00005	1027	0.00003	495	0.00004	1176	0.00002	381	0.00005	841	0.00006	538	0.00004	517	0.00005
Schizosaccharomycetes	147554	C	378	0.00002	620	0.00003	609	0.00005	385	0.00004	503	0.00005	492	0.00005	775	0.00005	705	0.00005	511	0.00002	0	0.00000	776	0.00004	652	0.00003	637	0.00004	810	0.00002	365	0.00003	966	0.00002	286	0.00004	463	0.00003	452	0.00004	486	0.00004
Tremellomycetes	155616	C	3857	0.00023	5884	0.00028	5766	0.00050	3762	0.00042	4474	0.00043	5096	0.00053	6133	0.00036	6918	0.00047	5049	0.00020	30	0.00000	7581	0.00040	7360	0.00028	5715	0.00039	9443	0.00027	3665	0.00032	13476	0.00024	2928	0.00039	5715	0.00041	4818	0.00039	4353	0.00039
Agaricomycetes	155619	C	716	0.00004	1111	0.00005	1058	0.00009	631	0.00007	849	0.00008	905	0.00009	1084	0.00006	1016	0.00007	935	0.00004	0	0.00000	1058	0.00006	1721	0.00007	812	0.00006	2409	0.00007	547	0.00005	2271	0.00004	454	0.00006	1240	0.00009	733	0.00006	624	0.00006
Pucciniomycetes	162484	C	1245	0.00007	1583	0.00008	1535	0.00013	988	0.00011	1168	0.00011	1230	0.00013	1809	0.00011	1669	0.00011	1549	0.00006	0	0.00000	2482	0.00013	2888	0.00011	1409	0.00010	3699	0.00011	982	0.00009	2794	0.00005	1005	0.00014	1590	0.00012	1207	0.00010	1289	0.00011
Ustilaginomycetes	5257	C	483	0.00003	807	0.00004	831	0.00007	500	0.00006	639	0.00006	692	0.00007	769	0.00005	837	0.00006	579	0.00002	0	0.00000	1455	0.00008	1334	0.00005	636	0.00004	1995	0.00006	408	0.00004	1858	0.00003	604	0.00008	815	0.00006	703	0.00006	463	0.00004
Malasseziomycetes	1538075	C	323	0.00002	611	0.00003	576	0.00005	394	0.00004	434	0.00004	497	0.00005	423	0.00002	553	0.00004	398	0.00002	0	0.00000	539	0.00003	532	0.00002	568	0.00004	723	0.00002	384	0.00003	1605	0.00003	232	0.00003	489	0.00004	285	0.00002	417	0.00004
Glomeromycetes	214506	C	4622	0.00027	6457	0.00031	7010	0.00060	4294	0.00048	5357	0.00051	5525	0.00058	8250	0.00049	8555	0.00058	6128	0.00025	47	0.00000	11426	0.00060	8713	0.00033	8195	0.00056	12404	0.00036	4786	0.00042	10303	0.00018	4613	0.00062	6752	0.00049	6339	0.00052	6889	0.00061
Aconoidasida	422676	C	8986	0.00053	14262	0.00069	14510	0.00125	9347	0.00104	11384	0.00109	12465	0.00130	16288	0.00096	18178	0.00123	11589	0.00047	185	0.00000	27566	0.00145	20803	0.00080	16283	0.00111	28249	0.00082	9872	0.00087	21202	0.00038	11146	0.00150	13881	0.00101	13329	0.00108	14369	0.00128
Conoidasida	1280412	C	1113	0.00007	2042	0.00010	1880	0.00016	1254	0.00014	1529	0.00015	1676	0.00017	2096	0.00012	2113	0.00014	1480	0.00006	0	0.00000	2882	0.00015	2559	0.00010	1981	0.00013	3842	0.00011	1175	0.00010	4609	0.00008	1142	0.00015	1936	0.00014	1544	0.00013	1500	0.00013
Oligohymenophorea	6020	C	478	0.00003	56	0.00000	57	0.00000	463	0.00005	572	0.00005	32	0.00000	861	0.00005	781	0.00005	726	0.00003	0	0.00000	57	0.00000	1260	0.00005	776	0.00005	1615	0.00005	614	0.00005	61	0.00000	19	0.00000	57	0.00000	604	0.00005	747	0.00007
Coscinodiscophyceae	33836	C	252	0.00001	377	0.00002	321	0.00003	203	0.00002	249	0.00002	273	0.00003	308	0.00002	369	0.00002	317	0.00001	0	0.00000	1361	0.00007	431	0.00002	308	0.00002	605	0.00002	199	0.00002	626	0.00001	569	0.00008	384	0.00003	219	0.00002	260	0.00002
Bacillariophyceae	33849	C	171	0.00001	963	0.00005	851	0.00007	156	0.00002	228	0.00002	751	0.00008	259	0.00002	308	0.00002	227	0.00001	0	0.00000	518	0.00003	530	0.00002	199	0.00001	687	0.00002	162	0.00001	1617	0.00003	205	0.00003	952	0.00007	266	0.00002	216	0.00002
Chlorarachniophyceae	29197	C	3212	0.00019	4586	0.00022	10154	0.00087	2796	0.00031	12411	0.00119	3944	0.00041	6056	0.00036	4912	0.00033	4034	0.00016	0	0.00000	7331	0.00038	5038	0.00019	4335	0.00029	6668	0.00019	2802	0.00025	153	0.00000	3080	0.00041	4054	0.00029	3465	0.00028	3898	0.00035
Kinetoplastea	5653	C	1844	0.00011	2849	0.00014	2800	0.00024	1850	0.00021	2314	0.00022	2432	0.00025	2385	0.00014	2930	0.00020	2630	0.00011	0	0.00000	3521	0.00018	4030	0.00015	2750	0.00019	5610	0.00016	1871	0.00017	13635	0.00024	1456	0.00020	3366	0.00024	2442	0.00020	2084	0.00019
Eumycetozoa	142796	C	1238	0.00007	1574	0.00008	1719	0.00015	960	0.00011	1243	0.00012	1399	0.00015	1873	0.00011	2083	0.00014	1593	0.00006	450	0.00001	2907	0.00015	1631	0.00006	1816	0.00012	2282	0.00007	1068	0.00009	2592	0.00005	1215	0.00016	1661	0.00012	1567	0.00013	1560	0.00014
Cryptophyceae	3027	C	83	0.00000	245	0.00001	241	0.00002	118	0.00001	201	0.00002	168	0.00002	322	0.00002	254	0.00002	121	0.00000	0	0.00000	521	0.00003	211	0.00001	154	0.00001	294	0.00001	274	0.00002	305	0.00001	230	0.00003	141	0.00001	197	0.00002	346	0.00003
Caudoviricetes	2731619	C	14090	0.00083	11693	0.00056	8727	0.00075	7176	0.00080	9260	0.00088	10167	0.00106	7259	0.00043	9488	0.00064	16991	0.00068	671	0.00001	8242	0.00043	66870	0.00257	10028	0.00068	95716	0.00276	5876	0.00052	17491	0.00031	3203	0.00043	7279	0.00053	10117	0.00082	6617	0.00059
Herviviricetes	2731363	C	177	0.00001	211	0.00001	214	0.00002	157	0.00002	166	0.00002	162	0.00002	237	0.00001	239	0.00002	209	0.00001	0	0.00000	279	0.00001	929	0.00004	226	0.00002	822	0.00002	128	0.00001	768	0.00001	114	0.00002	239	0.00002	122	0.00001	155	0.00001
Megaviricetes	2732523	C	3227	0.00019	1980	0.00010	2193	0.00019	1335	0.00015	2015	0.00019	1788	0.00019	2383	0.00014	2572	0.00017	3413	0.00014	13	0.00000	3152	0.00017	2599	0.00010	2381	0.00016	3489	0.00010	1525	0.00014	3180	0.00006	1236	0.00017	1878	0.00014	1499	0.00012	1996	0.00018
Pokkesviricetes	2732525	C	317	0.00002	477	0.00002	446	0.00004	293	0.00003	466	0.00004	409	0.00004	584	0.00003	578	0.00004	355	0.00001	0	0.00000	703	0.00004	452	0.00002	453	0.00003	656	0.00002	244	0.00002	779	0.00001	314	0.00004	401	0.00003	405	0.00003	362	0.00003
Tectiliviricetes	2732529	C	48	0.00000	41	0.00000	52	0.00000	19	0.00000	38	0.00000	89	0.00001	39	0.00000	44	0.00000	47	0.00000	0	0.00000	59	0.00000	32	0.00000	75	0.00001	36	0.00000	39	0.00000	82	0.00000	20	0.00000	893	0.00006	37	0.00000	66	0.00001
Naldaviricetes	2840056	C	492	0.00003	804	0.00004	545	0.00005	477	0.00005	417	0.00004	472	0.00005	690	0.00004	815	0.00006	612	0.00002	0	0.00000	862	0.00005	771	0.00003	698	0.00005	1241	0.00004	421	0.00004	682	0.00001	317	0.00004	617	0.00004	534	0.00004	409	0.00004
