name	taxonomy_id	taxonomy_lvl	C10_S21_G._num	C10_S21_G._frac	C1_S12_G._num	C1_S12_G._frac	C2_S13_G._num	C2_S13_G._frac	C3_S14_G._num	C3_S14_G._frac	C4_S15_G._num	C4_S15_G._frac	C5_S16_G._num	C5_S16_G._frac	C6_S17_G._num	C6_S17_G._frac	C7_S18_G._num	C7_S18_G._frac	C9_S20_G._num	C9_S20_G._frac	Post_Cntl_G._num	Post_Cntl_G._frac	S10_S11_G._num	S10_S11_G._frac	S1_S2_G._num	S1_S2_G._frac	S2_S3_G._num	S2_S3_G._frac	S3_S4_G._num	S3_S4_G._frac	S4_S5_G._num	S4_S5_G._frac	S5_S6_G._num	S5_S6_G._frac	S6_S7_G._num	S6_S7_G._frac	S7_S8_G._num	S7_S8_G._frac	S8_S9_G._num	S8_S9_G._frac	S9_S10_G._num	S9_S10_G._frac
Lutimonas	449810	G	638	0.00004	570	0.00003	650	0.00006	384	0.00004	501	0.00005	460	0.00005	727	0.00004	633	0.00004	1052	0.00004	0	0.00000	505	0.00003	698	0.00003	555	0.00004	915	0.00003	305	0.00003	1074	0.00002	195	0.00003	523	0.00004	551	0.00004	349	0.00003
Ulvibacterium	2665910	G	604	0.00004	512	0.00002	438	0.00004	276	0.00003	328	0.00003	320	0.00003	509	0.00003	499	0.00003	842	0.00003	0	0.00000	628	0.00003	253	0.00001	897	0.00006	370	0.00001	589	0.00005	1042	0.00002	201	0.00003	821	0.00006	378	0.00003	630	0.00006
Costertonia	343334	G	841	0.00005	554	0.00003	698	0.00006	342	0.00004	527	0.00005	506	0.00005	770	0.00005	746	0.00005	1384	0.00006	0	0.00000	937	0.00005	574	0.00002	693	0.00005	778	0.00002	434	0.00004	1140	0.00002	375	0.00005	937	0.00007	1072	0.00009	446	0.00004
Sediminicola	389486	G	603	0.00004	383	0.00002	381	0.00003	256	0.00003	279	0.00003	253	0.00003	457	0.00003	367	0.00002	1121	0.00005	0	0.00000	495	0.00003	295	0.00001	333	0.00002	380	0.00001	250	0.00002	830	0.00001	215	0.00003	530	0.00004	197	0.00002	217	0.00002
Muriicola	762641	G	543	0.00003	357	0.00002	404	0.00003	237	0.00003	298	0.00003	305	0.00003	501	0.00003	471	0.00003	921	0.00004	0	0.00000	394	0.00002	239	0.00001	351	0.00002	307	0.00001	244	0.00002	943	0.00002	165	0.00002	408	0.00003	621	0.00005	262	0.00002
Sinomicrobium	1434045	G	530	0.00003	709	0.00003	579	0.00005	441	0.00005	487	0.00005	523	0.00005	673	0.00004	652	0.00004	878	0.00004	0	0.00000	1026	0.00005	881	0.00003	907	0.00006	1201	0.00003	584	0.00005	1538	0.00003	378	0.00005	954	0.00007	970	0.00008	624	0.00006
Aggregatimonas	2913017	G	497	0.00003	450	0.00002	454	0.00004	366	0.00004	420	0.00004	366	0.00004	733	0.00004	628	0.00004	822	0.00003	0	0.00000	537	0.00003	584	0.00002	486	0.00003	744	0.00002	386	0.00003	1136	0.00002	233	0.00003	628	0.00005	596	0.00005	661	0.00006
Robiginitalea	252306	G	422	0.00002	536	0.00003	516	0.00004	335	0.00004	355	0.00003	409	0.00004	610	0.00004	583	0.00004	640	0.00003	0	0.00000	1061	0.00006	1232	0.00005	778	0.00005	1494	0.00004	484	0.00004	1277	0.00002	451	0.00006	1002	0.00007	910	0.00007	561	0.00005
Chryseobacterium	59732	G	52267	0.00307	43168	0.00208	41820	0.00360	26382	0.00294	35538	0.00340	33114	0.00345	51691	0.00305	49076	0.00331	94429	0.00380	26	0.00000	61057	0.00321	47033	0.00181	43337	0.00295	61697	0.00178	27495	0.00244	486386	0.00869	24577	0.00331	50231	0.00365	35513	0.00289	33400	0.00297
Kaistella	2782231	G	6150	0.00036	6544	0.00032	3635	0.00031	2696	0.00030	5639	0.00054	2744	0.00029	5000	0.00030	4337	0.00029	12392	0.00050	0	0.00000	4977	0.00026	2886	0.00011	3716	0.00025	3971	0.00011	2396	0.00021	556578	0.00995	1966	0.00026	3762	0.00027	3142	0.00026	2788	0.00025
Epilithonimonas	2782229	G	3300	0.00019	2600	0.00013	2822	0.00024	1647	0.00018	2247	0.00021	2143	0.00022	3096	0.00018	3036	0.00021	5807	0.00023	0	0.00000	3431	0.00018	5325	0.00020	2379	0.00016	6469	0.00019	1469	0.00013	19860	0.00035	1369	0.00018	2716	0.00020	2275	0.00019	1736	0.00015
Elizabethkingia	308865	G	7077	0.00042	4393	0.00021	4552	0.00039	2710	0.00030	3478	0.00033	3374	0.00035	5778	0.00034	5139	0.00035	13155	0.00053	18	0.00000	7558	0.00040	5401	0.00021	4317	0.00029	6556	0.00019	2879	0.00026	12949	0.00023	2853	0.00038	4383	0.00032	3838	0.00031	3567	0.00032
Empedobacter	59734	G	5951	0.00035	3449	0.00017	3766	0.00032	1775	0.00020	2343	0.00022	2751	0.00029	3717	0.00022	4185	0.00028	11874	0.00048	0	0.00000	4595	0.00024	3339	0.00013	3708	0.00025	4149	0.00012	2281	0.00020	6514	0.00012	1982	0.00027	3710	0.00027	3264	0.00027	2950	0.00026
Faecalibacter	2766734	G	2866	0.00017	1847	0.00009	2033	0.00017	1367	0.00015	1589	0.00015	1482	0.00015	1838	0.00011	2206	0.00015	6279	0.00025	11	0.00000	2233	0.00012	651	0.00003	1296	0.00009	908	0.00003	938	0.00008	2947	0.00005	896	0.00012	1542	0.00011	909	0.00007	1086	0.00010
Riemerella	34084	G	3387	0.00020	2168	0.00010	3456	0.00030	1697	0.00019	2029	0.00019	2419	0.00025	2731	0.00016	3190	0.00022	5677	0.00023	0	0.00000	4131	0.00022	2075	0.00008	2725	0.00019	2536	0.00007	1661	0.00015	6729	0.00012	1789	0.00024	2694	0.00020	3353	0.00027	2149	0.00019
Ornithobacterium	28250	G	2653	0.00016	2480	0.00012	2468	0.00021	1584	0.00018	2095	0.00020	1858	0.00019	2757	0.00016	2772	0.00019	4473	0.00018	0	0.00000	3096	0.00016	2460	0.00009	2113	0.00014	2892	0.00008	1336	0.00012	3193	0.00006	1249	0.00017	3118	0.00023	2586	0.00021	1547	0.00014
Cloacibacterium	501783	G	3143	0.00018	1825	0.00009	1921	0.00017	1074	0.00012	1725	0.00016	1400	0.00015	2204	0.00013	2495	0.00017	5435	0.00022	0	0.00000	1808	0.00009	2631	0.00010	1756	0.00012	2740	0.00008	1171	0.00010	11270	0.00020	745	0.00010	2820	0.00020	1798	0.00015	1446	0.00013
Apibacter	1778601	G	1799	0.00011	1540	0.00007	1766	0.00015	958	0.00011	1302	0.00012	1467	0.00015	1783	0.00011	2089	0.00014	2757	0.00011	0	0.00000	2284	0.00012	968	0.00004	1906	0.00013	1403	0.00004	1049	0.00009	2438	0.00004	865	0.00012	2497	0.00018	1886	0.00015	1534	0.00014
Weeksella	1013	G	1511	0.00009	1049	0.00005	998	0.00009	527	0.00006	740	0.00007	670	0.00007	824	0.00005	1293	0.00009	2916	0.00012	0	0.00000	754	0.00004	476	0.00002	761	0.00005	610	0.00002	445	0.00004	1373	0.00002	264	0.00004	865	0.00006	798	0.00006	541	0.00005
Bergeyella	59735	G	1032	0.00006	1312	0.00006	1890	0.00016	973	0.00011	1109	0.00011	1404	0.00015	1515	0.00009	1767	0.00012	1602	0.00006	28	0.00000	2032	0.00011	1138	0.00004	2780	0.00019	1354	0.00004	1447	0.00013	3523	0.00006	885	0.00012	1768	0.00013	1550	0.00013	2098	0.00019
Cruoricaptor	1433995	G	470	0.00003	718	0.00003	663	0.00006	474	0.00005	563	0.00005	539	0.00006	801	0.00005	759	0.00005	804	0.00003	0	0.00000	973	0.00005	1173	0.00005	845	0.00006	1629	0.00005	590	0.00005	2663	0.00005	365	0.00005	963	0.00007	782	0.00006	619	0.00006
Marnyiella	3088764	G	397	0.00002	622	0.00003	562	0.00005	412	0.00005	659	0.00006	410	0.00004	594	0.00004	631	0.00004	753	0.00003	0	0.00000	599	0.00003	539	0.00002	686	0.00005	682	0.00002	430	0.00004	258116	0.00461	252	0.00003	672	0.00005	382	0.00003	452	0.00004
Fluviicola	332102	G	6327	0.00037	1316	0.00006	1400	0.00012	896	0.00010	1067	0.00010	971	0.00010	1595	0.00009	1653	0.00011	20763	0.00083	0	0.00000	2013	0.00011	734	0.00003	1543	0.00010	947	0.00003	888	0.00008	8704	0.00016	853	0.00011	1248	0.00009	1105	0.00009	1098	0.00010
Paracrocinitomix	3024544	G	1582	0.00009	735	0.00004	758	0.00007	436	0.00005	554	0.00005	476	0.00005	857	0.00005	1024	0.00007	3675	0.00015	0	0.00000	1005	0.00005	440	0.00002	636	0.00004	583	0.00002	414	0.00004	948	0.00002	412	0.00006	937	0.00007	493	0.00004	528	0.00005
Blattabacterium	34098	G	6752	0.00040	5838	0.00028	6316	0.00054	3476	0.00039	4722	0.00045	4513	0.00047	7199	0.00042	7175	0.00048	10228	0.00041	0	0.00000	8461	0.00044	7384	0.00028	6284	0.00043	9648	0.00028	3832	0.00034	7913	0.00014	3355	0.00045	7000	0.00051	5398	0.00044	5223	0.00046
Croceimicrobium	2828338	G	1055	0.00006	1132	0.00005	1090	0.00009	749	0.00008	959	0.00009	807	0.00008	1552	0.00009	1360	0.00009	1857	0.00007	0	0.00000	1570	0.00008	920	0.00004	1121	0.00008	1270	0.00004	807	0.00007	1718	0.00003	666	0.00009	1418	0.00010	1190	0.00010	865	0.00008
Owenweeksia	267986	G	872	0.00005	674	0.00003	738	0.00006	497	0.00006	641	0.00006	566	0.00006	776	0.00005	855	0.00006	1326	0.00005	0	0.00000	944	0.00005	379	0.00001	879	0.00006	498	0.00001	619	0.00005	1100	0.00002	396	0.00005	934	0.00007	818	0.00007	624	0.00006
Ichthyobacterium	1755829	G	1309	0.00008	363	0.00002	359	0.00003	225	0.00003	351	0.00003	359	0.00004	440	0.00003	485	0.00003	1304	0.00005	0	0.00000	1796	0.00009	440	0.00002	358	0.00002	567	0.00002	270	0.00002	375	0.00001	812	0.00011	447	0.00003	235	0.00002	274	0.00002
Parvicella	2975260	G	1089	0.00006	706	0.00003	817	0.00007	535	0.00006	591	0.00006	655	0.00007	948	0.00006	1003	0.00007	1981	0.00008	0	0.00000	984	0.00005	204	0.00001	875	0.00006	293	0.00001	591	0.00005	1150	0.00002	371	0.00005	915	0.00007	612	0.00005	622	0.00006
Candidatus Karelsulcia	336809	G	713	0.00004	902	0.00004	981	0.00008	594	0.00007	766	0.00007	762	0.00008	1070	0.00006	1108	0.00007	1032	0.00004	0	0.00000	1398	0.00007	1697	0.00007	757	0.00005	1869	0.00005	537	0.00005	1155	0.00002	579	0.00008	878	0.00006	786	0.00006	617	0.00005
Candidatus Walczuchella	1940138	G	109	0.00001	106	0.00001	125	0.00001	81	0.00001	87	0.00001	91	0.00001	124	0.00001	184	0.00001	168	0.00001	0	0.00000	106	0.00001	161	0.00001	142	0.00001	194	0.00001	71	0.00001	240	0.00000	46	0.00001	127	0.00001	44	0.00000	93	0.00001
Candidatus Shikimatogenerans	2926991	G	86	0.00001	141	0.00001	126	0.00001	88	0.00001	103	0.00001	113	0.00001	72	0.00000	150	0.00001	104	0.00000	0	0.00000	149	0.00001	120	0.00000	103	0.00001	138	0.00000	68	0.00001	138	0.00000	65	0.00001	84	0.00001	74	0.00001	106	0.00001
Sanyastnella	3228946	G	707	0.00004	1256	0.00006	1127	0.00010	770	0.00009	963	0.00009	870	0.00009	1670	0.00010	1270	0.00009	1225	0.00005	0	0.00000	1533	0.00008	632	0.00002	918	0.00006	857	0.00002	574	0.00005	1844	0.00003	668	0.00009	908	0.00007	1154	0.00009	603	0.00005
Hymenobacter	89966	G	11477	0.00067	23849	0.00115	24010	0.00207	16995	0.00189	19710	0.00188	19274	0.00201	24024	0.00142	26187	0.00177	15213	0.00061	44	0.00000	37979	0.00199	52090	0.00200	32193	0.00219	70550	0.00204	22393	0.00199	80088	0.00143	15312	0.00206	38863	0.00282	32775	0.00267	22462	0.00200
Pontibacter	323449	G	4856	0.00029	7715	0.00037	8018	0.00069	5445	0.00061	6178	0.00059	6386	0.00066	8665	0.00051	8997	0.00061	6693	0.00027	0	0.00000	12942	0.00068	10469	0.00040	9008	0.00061	14378	0.00042	6275	0.00056	18569	0.00033	5215	0.00070	9310	0.00068	8787	0.00072	6391	0.00057
Rufibacter	1379908	G	1587	0.00009	2494	0.00012	2590	0.00022	1792	0.00020	1888	0.00018	1928	0.00020	3070	0.00018	2802	0.00019	2315	0.00009	0	0.00000	4195	0.00022	2521	0.00010	2648	0.00018	3483	0.00010	1861	0.00017	4933	0.00009	1690	0.00023	3319	0.00024	2664	0.00022	1936	0.00017
Adhaeribacter	299566	G	1045	0.00006	1108	0.00005	1178	0.00010	752	0.00008	958	0.00009	888	0.00009	1177	0.00007	1457	0.00010	1546	0.00006	0	0.00000	1328	0.00007	1377	0.00005	1629	0.00011	1796	0.00005	1002	0.00009	3322	0.00006	527	0.00007	2225	0.00016	785	0.00006	1077	0.00010
Nibribacter	1649474	G	921	0.00005	888	0.00004	930	0.00008	611	0.00007	806	0.00008	673	0.00007	1148	0.00007	993	0.00007	1018	0.00004	0	0.00000	1525	0.00008	1504	0.00006	1191	0.00008	2156	0.00006	761	0.00007	2004	0.00004	650	0.00009	1077	0.00008	1074	0.00009	823	0.00007
Algoriphagus	246875	G	5586	0.00033	4996	0.00024	5096	0.00044	3466	0.00039	4142	0.00040	3984	0.00041	6253	0.00037	5820	0.00039	9222	0.00037	10	0.00000	7144	0.00038	4549	0.00017	4532	0.00031	6112	0.00018	3086	0.00027	20659	0.00037	2976	0.00040	5763	0.00042	4862	0.00040	3457	0.00031
Echinicola	390846	G	4735	0.00028	4071	0.00020	3886	0.00033	2640	0.00029	3189	0.00030	3095	0.00032	4371	0.00026	4470	0.00030	7597	0.00031	0	0.00000	5522	0.00029	4133	0.00016	4472	0.00030	5657	0.00016	2919	0.00026	9344	0.00017	2252	0.00030	5179	0.00038	4309	0.00035	3021	0.00027
Cyclobacterium	68288	G	2360	0.00014	1815	0.00009	1870	0.00016	1089	0.00012	1448	0.00014	1333	0.00014	2007	0.00012	1973	0.00013	3528	0.00014	0	0.00000	2394	0.00013	1843	0.00007	1698	0.00012	2495	0.00007	1141	0.00010	3610	0.00006	1034	0.00014	1980	0.00014	1746	0.00014	1286	0.00011
Belliella	232244	G	1698	0.00010	705	0.00003	744	0.00006	528	0.00006	566	0.00005	560	0.00006	777	0.00005	837	0.00006	3117	0.00013	0	0.00000	842	0.00004	569	0.00002	654	0.00004	726	0.00002	391	0.00003	2196	0.00004	301	0.00004	811	0.00006	421	0.00003	471	0.00004
Aquiflexum	280472	G	849	0.00005	711	0.00003	660	0.00006	451	0.00005	543	0.00005	586	0.00006	903	0.00005	897	0.00006	1487	0.00006	0	0.00000	781	0.00004	478	0.00002	641	0.00004	644	0.00002	385	0.00003	1546	0.00003	321	0.00004	626	0.00005	557	0.00005	455	0.00004
Mongoliitalea	1511649	G	796	0.00005	599	0.00003	637	0.00005	392	0.00004	490	0.00005	457	0.00005	676	0.00004	599	0.00004	1207	0.00005	0	0.00000	836	0.00004	1092	0.00004	530	0.00004	1382	0.00004	359	0.00003	1190	0.00002	353	0.00005	567	0.00004	543	0.00004	356	0.00003
Dyadobacter	120831	G	4849	0.00028	6139	0.00030	6223	0.00054	4099	0.00046	5065	0.00048	5006	0.00052	6985	0.00041	7072	0.00048	7352	0.00030	0	0.00000	8920	0.00047	7173	0.00028	6103	0.00042	9764	0.00028	3857	0.00034	43233	0.00077	3363	0.00045	7126	0.00052	6683	0.00054	4235	0.00038
Runella	105	G	2293	0.00013	2598	0.00013	2925	0.00025	1800	0.00020	2317	0.00022	2296	0.00024	3206	0.00019	3313	0.00022	3779	0.00015	0	0.00000	3938	0.00021	3799	0.00015	2563	0.00017	4635	0.00013	1673	0.00015	6477	0.00012	1551	0.00021	3137	0.00023	2776	0.00023	1780	0.00016
Tellurirhabdus	2674996	G	955	0.00006	1472	0.00007	1420	0.00012	997	0.00011	1113	0.00011	1243	0.00013	1601	0.00009	1604	0.00011	1348	0.00005	0	0.00000	2027	0.00011	2023	0.00008	2204	0.00015	2643	0.00008	1407	0.00012	4165	0.00007	793	0.00011	2655	0.00019	1685	0.00014	1469	0.00013
Larkinella	332157	G	825	0.00005	1299	0.00006	1248	0.00011	899	0.00010	1146	0.00011	1146	0.00012	1172	0.00007	1408	0.00010	1241	0.00005	0	0.00000	1736	0.00009	1943	0.00007	1579	0.00011	2652	0.00008	1056	0.00009	4598	0.00008	765	0.00010	2414	0.00018	1311	0.00011	1151	0.00010
Fibrella	861914	G	338	0.00002	674	0.00003	645	0.00006	487	0.00005	619	0.00006	568	0.00006	694	0.00004	794	0.00005	416	0.00002	0	0.00000	1351	0.00007	1911	0.00007	803	0.00005	2574	0.00007	562	0.00005	2040	0.00004	588	0.00008	978	0.00007	1285	0.00010	591	0.00005
Spirosoma	107	G	6252	0.00037	9124	0.00044	8944	0.00077	5853	0.00065	7135	0.00068	7018	0.00073	9956	0.00059	10062	0.00068	8882	0.00036	0	0.00000	14024	0.00074	12975	0.00050	10608	0.00072	17244	0.00050	6990	0.00062	22848	0.00041	5575	0.00075	11722	0.00085	9715	0.00079	7376	0.00066
Cytophaga	978	G	757	0.00004	625	0.00003	565	0.00005	420	0.00005	500	0.00005	533	0.00006	769	0.00005	742	0.00005	1378	0.00006	0	0.00000	534	0.00003	427	0.00002	517	0.00004	629	0.00002	309	0.00003	2253	0.00004	235	0.00003	657	0.00005	468	0.00004	396	0.00004
Flammeovirga	59739	G	3824	0.00022	3639	0.00018	3680	0.00032	2602	0.00029	3108	0.00030	3059	0.00032	4641	0.00027	4610	0.00031	6375	0.00026	0	0.00000	4897	0.00026	3761	0.00014	3874	0.00026	4734	0.00014	2525	0.00022	5298	0.00009	1988	0.00027	4326	0.00031	3441	0.00028	3052	0.00027
Chondrinema	3051458	G	1606	0.00009	1099	0.00005	1231	0.00011	795	0.00009	903	0.00009	951	0.00010	1491	0.00009	1402	0.00009	2796	0.00011	0	0.00000	1480	0.00008	766	0.00003	1505	0.00010	979	0.00003	1108	0.00010	1955	0.00003	573	0.00008	1448	0.00011	1090	0.00009	1245	0.00011
Imperialibacter	1649461	G	994	0.00006	1308	0.00006	1373	0.00012	920	0.00010	1057	0.00010	1051	0.00011	1538	0.00009	1610	0.00011	1453	0.00006	0	0.00000	1903	0.00010	1250	0.00005	1552	0.00011	1771	0.00005	1068	0.00009	2719	0.00005	761	0.00010	1790	0.00013	1697	0.00014	1190	0.00011
Marivirga	869806	G	5636	0.00033	4186	0.00020	4118	0.00035	2432	0.00027	3183	0.00030	2619	0.00027	4811	0.00028	4822	0.00033	9638	0.00039	0	0.00000	5328	0.00028	4847	0.00019	4378	0.00030	5790	0.00017	3041	0.00027	6288	0.00011	2012	0.00027	4564	0.00033	2544	0.00021	3304	0.00029
Ekhidna	447678	G	2944	0.00017	2728	0.00013	2924	0.00025	1935	0.00022	2306	0.00022	2169	0.00023	3541	0.00021	3397	0.00023	4756	0.00019	0	0.00000	3679	0.00019	1410	0.00005	2811	0.00019	1923	0.00006	1848	0.00016	4584	0.00008	1480	0.00020	3348	0.00024	2461	0.00020	2185	0.00019
Reichenbachiella	156993	G	1740	0.00010	1674	0.00008	1735	0.00015	1189	0.00013	1524	0.00015	1397	0.00015	2187	0.00013	2124	0.00014	2833	0.00011	0	0.00000	2785	0.00015	2043	0.00008	1751	0.00012	2565	0.00007	1110	0.00010	3184	0.00006	1152	0.00016	2400	0.00017	2157	0.00018	1192	0.00011
Fulvivirga	396811	G	3870	0.00023	3050	0.00015	2983	0.00026	1913	0.00021	2343	0.00022	2290	0.00024	3388	0.00020	3679	0.00025	5737	0.00023	65	0.00000	4006	0.00021	3083	0.00012	2749	0.00019	3766	0.00011	1744	0.00015	4882	0.00009	1645	0.00022	3328	0.00024	3094	0.00025	1887	0.00017
Chryseolinea	1433993	G	595	0.00003	1141	0.00005	1142	0.00010	759	0.00008	964	0.00009	1003	0.00010	1313	0.00008	1277	0.00009	910	0.00004	0	0.00000	2163	0.00011	1194	0.00005	1532	0.00010	1547	0.00004	999	0.00009	3513	0.00006	872	0.00012	1769	0.00013	1337	0.00011	1131	0.00010
Emticicia	312278	G	1607	0.00009	1841	0.00009	1661	0.00014	1104	0.00012	1485	0.00014	1314	0.00014	2042	0.00012	2116	0.00014	2572	0.00010	0	0.00000	2142	0.00011	1148	0.00004	1473	0.00010	1516	0.00004	951	0.00008	2836	0.00005	902	0.00012	2293	0.00017	1462	0.00012	1112	0.00010
Arcticibacterium	2173039	G	967	0.00006	574	0.00003	619	0.00005	449	0.00005	636	0.00006	512	0.00005	959	0.00006	748	0.00005	1493	0.00006	0	0.00000	652	0.00003	305	0.00001	593	0.00004	386	0.00001	449	0.00004	770	0.00001	292	0.00004	850	0.00006	424	0.00003	452	0.00004
Leadbetterella	319458	G	1007	0.00006	995	0.00005	1125	0.00010	689	0.00008	791	0.00008	854	0.00009	1392	0.00008	1321	0.00009	1667	0.00007	0	0.00000	1180	0.00006	636	0.00002	925	0.00006	861	0.00002	601	0.00005	1819	0.00003	475	0.00006	886	0.00006	958	0.00008	676	0.00006
Marinilongibacter	2975149	G	678	0.00004	926	0.00004	857	0.00007	564	0.00006	679	0.00006	639	0.00007	925	0.00005	972	0.00007	1025	0.00004	0	0.00000	1516	0.00008	345	0.00001	825	0.00006	448	0.00001	533	0.00005	1317	0.00002	562	0.00008	1019	0.00007	724	0.00006	573	0.00005
Bernardetia	1937972	G	3748	0.00022	2838	0.00014	3116	0.00027	1723	0.00019	2333	0.00022	2343	0.00024	3846	0.00023	3703	0.00025	6374	0.00026	0	0.00000	4424	0.00023	3385	0.00013	2493	0.00017	4371	0.00013	1474	0.00013	5137	0.00009	1645	0.00022	4425	0.00032	2656	0.00022	1866	0.00017
Roseivirga	290180	G	3416	0.00020	3086	0.00015	3206	0.00028	2194	0.00024	2649	0.00025	2619	0.00027	3857	0.00023	3731	0.00025	5793	0.00023	0	0.00000	3113	0.00016	2776	0.00011	3748	0.00025	3831	0.00011	2284	0.00020	5228	0.00009	1308	0.00018	3442	0.00025	3993	0.00032	2634	0.00023
Persicobacter	59740	G	791	0.00005	975	0.00005	1042	0.00009	706	0.00008	919	0.00009	833	0.00009	1124	0.00007	1285	0.00009	1175	0.00005	0	0.00000	1414	0.00007	992	0.00004	699	0.00005	1385	0.00004	559	0.00005	1719	0.00003	572	0.00008	1301	0.00009	988	0.00008	559	0.00005
Aureibacter	1097443	G	751	0.00004	844	0.00004	962	0.00008	574	0.00006	645	0.00006	627	0.00007	943	0.00006	1150	0.00008	1228	0.00005	0	0.00000	1255	0.00007	556	0.00002	738	0.00005	775	0.00002	523	0.00005	975	0.00002	482	0.00006	635	0.00005	514	0.00004	546	0.00005
Fulvitalea	1434007	G	697	0.00004	1260	0.00006	1320	0.00011	935	0.00010	1123	0.00011	1046	0.00011	1457	0.00009	1413	0.00010	918	0.00004	0	0.00000	2532	0.00013	1804	0.00007	2018	0.00014	2492	0.00007	1390	0.00012	2355	0.00004	1041	0.00014	2071	0.00015	1902	0.00015	1462	0.00013
Catalinimonas	1522128	G	901	0.00005	679	0.00003	644	0.00006	492	0.00005	500	0.00005	542	0.00006	818	0.00005	766	0.00005	1422	0.00006	0	0.00000	1092	0.00006	655	0.00003	704	0.00005	854	0.00002	422	0.00004	1094	0.00002	397	0.00005	769	0.00006	651	0.00005	473	0.00004
Porifericola	1001222	G	603	0.00004	601	0.00003	634	0.00005	414	0.00005	492	0.00005	458	0.00005	812	0.00005	775	0.00005	982	0.00004	0	0.00000	657	0.00003	417	0.00002	543	0.00004	650	0.00002	377	0.00003	1037	0.00002	265	0.00004	511	0.00004	584	0.00005	451	0.00004
Tunicatimonas	1077254	G	564	0.00003	369	0.00002	410	0.00004	250	0.00003	399	0.00004	351	0.00004	472	0.00003	558	0.00004	891	0.00004	0	0.00000	683	0.00004	697	0.00003	514	0.00003	895	0.00003	367	0.00003	1334	0.00002	262	0.00004	573	0.00004	501	0.00004	332	0.00003
Aquirufa	2676247	G	1509	0.00009	1429	0.00007	1571	0.00014	1102	0.00012	1279	0.00012	1133	0.00012	1862	0.00011	1931	0.00013	2417	0.00010	0	0.00000	1966	0.00010	940	0.00004	1369	0.00009	1308	0.00004	883	0.00008	2527	0.00005	797	0.00011	1345	0.00010	1995	0.00016	943	0.00008
Candidatus Cardinium	273135	G	859	0.00005	782	0.00004	1019	0.00009	616	0.00007	702	0.00007	806	0.00008	1042	0.00006	1119	0.00008	1270	0.00005	0	0.00000	1261	0.00007	1485	0.00006	1163	0.00008	2061	0.00006	819	0.00007	1075	0.00002	475	0.00006	1419	0.00010	968	0.00008	1017	0.00009
Candidatus Amoebophilus	281119	G	292	0.00002	286	0.00001	302	0.00003	164	0.00002	255	0.00002	224	0.00002	363	0.00002	393	0.00003	361	0.00001	0	0.00000	546	0.00003	525	0.00002	344	0.00002	751	0.00002	251	0.00002	382	0.00001	220	0.00003	308	0.00002	159	0.00001	253	0.00002
Mangrovivirga	2858886	G	813	0.00005	666	0.00003	663	0.00006	408	0.00005	517	0.00005	537	0.00006	919	0.00005	812	0.00005	1161	0.00005	0	0.00000	818	0.00004	332	0.00001	647	0.00004	529	0.00002	423	0.00004	1170	0.00002	372	0.00005	612	0.00004	464	0.00004	511	0.00005
Rhodocytophaga	455076	G	627	0.00004	698	0.00003	823	0.00007	465	0.00005	678	0.00006	604	0.00006	829	0.00005	848	0.00006	958	0.00004	0	0.00000	960	0.00005	337	0.00001	589	0.00004	469	0.00001	385	0.00003	4616	0.00008	390	0.00005	927	0.00007	475	0.00004	457	0.00004
Sphingobacterium	28453	G	34019	0.00200	23160	0.00112	24095	0.00207	15889	0.00177	19076	0.00182	18639	0.00194	27348	0.00161	27669	0.00187	60531	0.00243	30	0.00000	34450	0.00181	18483	0.00071	23362	0.00159	23162	0.00067	15782	0.00140	65343	0.00117	14052	0.00189	25411	0.00185	22923	0.00187	18316	0.00163
Pedobacter	84567	G	22069	0.00130	16587	0.00080	16869	0.00145	10581	0.00118	13305	0.00127	12840	0.00134	18763	0.00111	19775	0.00134	37462	0.00151	0	0.00000	23377	0.00123	13224	0.00051	16731	0.00114	17278	0.00050	10741	0.00095	105985	0.00189	9426	0.00127	18187	0.00132	16488	0.00134	12567	0.00112
Mucilaginibacter	423349	G	21527	0.00126	23130	0.00111	24875	0.00214	16594	0.00185	20156	0.00193	19119	0.00199	27989	0.00165	28216	0.00191	32240	0.00130	0	0.00000	36009	0.00189	27038	0.00104	26313	0.00179	35770	0.00103	17321	0.00154	66680	0.00119	14420	0.00194	27131	0.00197	23848	0.00194	19097	0.00170
Solitalea	929509	G	2404	0.00014	1770	0.00009	1607	0.00014	1080	0.00012	1590	0.00015	1304	0.00014	2321	0.00014	2104	0.00014	3700	0.00015	0	0.00000	2225	0.00012	988	0.00004	1207	0.00008	1377	0.00004	798	0.00007	3269	0.00006	950	0.00013	2282	0.00017	1409	0.00011	932	0.00008
Olivibacter	376469	G	2706	0.00016	1442	0.00007	1402	0.00012	850	0.00009	1106	0.00011	1142	0.00012	1887	0.00011	1822	0.00012	4689	0.00019	0	0.00000	2053	0.00011	1489	0.00006	1709	0.00012	2025	0.00006	1174	0.00010	3852	0.00007	816	0.00011	1975	0.00014	1507	0.00012	1258	0.00011
Pseudopedobacter	1649482	G	1886	0.00011	806	0.00004	888	0.00008	594	0.00007	677	0.00006	755	0.00008	993	0.00006	1278	0.00009	2998	0.00012	0	0.00000	1327	0.00007	500	0.00002	861	0.00006	681	0.00002	574	0.00005	2228	0.00004	525	0.00007	808	0.00006	624	0.00005	590	0.00005
