name	taxonomy_id	taxonomy_lvl	C10_S21_F._num	C10_S21_F._frac	C1_S12_F._num	C1_S12_F._frac	C2_S13_F._num	C2_S13_F._frac	C3_S14_F._num	C3_S14_F._frac	C4_S15_F._num	C4_S15_F._frac	C5_S16_F._num	C5_S16_F._frac	C6_S17_F._num	C6_S17_F._frac	C7_S18_F._num	C7_S18_F._frac	C9_S20_F._num	C9_S20_F._frac	Post_Cntl_F._num	Post_Cntl_F._frac	S10_S11_F._num	S10_S11_F._frac	S1_S2_F._num	S1_S2_F._frac	S2_S3_F._num	S2_S3_F._frac	S3_S4_F._num	S3_S4_F._frac	S4_S5_F._num	S4_S5_F._frac	S5_S6_F._num	S5_S6_F._frac	S6_S7_F._num	S6_S7_F._frac	S7_S8_F._num	S7_S8_F._frac	S8_S9_F._num	S8_S9_F._frac	S9_S10_F._num	S9_S10_F._frac
Aquaspirillaceae	2897176	F	4156	0.00024	1420	0.00007	1680	0.00014	1110	0.00012	1133	0.00011	1403	0.00015	1301	0.00008	1530	0.00010	5071	0.00020	0	0.00000	1755	0.00009	3201	0.00012	1710	0.00012	4627	0.00013	1198	0.00011	4398	0.00008	701	0.00009	2010	0.00015	1386	0.00011	1286	0.00011
Methylophilaceae	32011	F	6834	0.00040	3718	0.00018	3433	0.00030	2250	0.00025	2792	0.00027	2814	0.00029	3874	0.00023	3695	0.00025	9311	0.00037	0	0.00000	5099	0.00027	5081	0.00020	3434	0.00023	6742	0.00019	2296	0.00020	11173	0.00020	2082	0.00028	3808	0.00028	2532	0.00021	2694	0.00024
Nitrosomonadaceae	206379	F	3918	0.00023	2749	0.00013	2936	0.00025	1903	0.00021	2313	0.00022	2514	0.00026	2843	0.00017	2814	0.00019	5198	0.00021	114	0.00000	3812	0.00020	3543	0.00014	3352	0.00023	4898	0.00014	2223	0.00020	34365	0.00061	1456	0.00020	3755	0.00027	2288	0.00019	2428	0.00022
Gallionellaceae	90627	F	2284	0.00013	2387	0.00011	2218	0.00019	1602	0.00018	1853	0.00018	1924	0.00020	1845	0.00011	2438	0.00016	3108	0.00012	41	0.00000	2486	0.00013	2773	0.00011	2408	0.00016	3649	0.00011	1635	0.00014	7437	0.00013	1007	0.00014	2984	0.00022	2411	0.00020	1651	0.00015
Sulfuricellaceae	2772226	F	2165	0.00013	1998	0.00010	1903	0.00016	1276	0.00014	1447	0.00014	1599	0.00017	1742	0.00010	1888	0.00013	2980	0.00012	102	0.00000	2289	0.00012	2502	0.00010	1903	0.00013	3292	0.00010	1415	0.00013	5505	0.00010	904	0.00012	2181	0.00016	1340	0.00011	1488	0.00013
Sterolibacteriaceae	2008793	F	2129	0.00013	3295	0.00016	3535	0.00030	2137	0.00024	2602	0.00025	3050	0.00032	2590	0.00015	3427	0.00023	2856	0.00011	14	0.00000	4642	0.00024	5374	0.00021	3551	0.00024	7158	0.00021	2390	0.00021	14270	0.00026	1776	0.00024	4287	0.00031	2860	0.00023	2661	0.00024
Thiobacillaceae	2008790	F	868	0.00005	1336	0.00006	1388	0.00012	1014	0.00011	1161	0.00011	1288	0.00013	1012	0.00006	1448	0.00010	1124	0.00005	0	0.00000	2262	0.00012	2052	0.00008	1536	0.00010	2802	0.00008	1199	0.00011	6079	0.00011	846	0.00011	2003	0.00015	994	0.00008	1310	0.00012
Usitatibacteraceae	2803844	F	427	0.00003	1879	0.00009	2043	0.00018	1382	0.00015	1162	0.00011	1747	0.00018	423	0.00002	2385	0.00016	602	0.00002	0	0.00000	2115	0.00011	1765	0.00007	1485	0.00010	2362	0.00007	990	0.00009	5254	0.00009	687	0.00009	1514	0.00011	2099	0.00017	1198	0.00011
Zoogloeaceae	2008794	F	6507	0.00038	8130	0.00039	9324	0.00080	6332	0.00070	6781	0.00065	8564	0.00089	6041	0.00036	8755	0.00059	8665	0.00035	95	0.00000	11592	0.00061	12277	0.00047	10661	0.00073	16736	0.00048	7283	0.00065	44736	0.00080	4394	0.00059	11828	0.00086	6991	0.00057	8047	0.00071
Azonexaceae	2008795	F	3446	0.00020	5158	0.00025	5593	0.00048	3551	0.00040	4352	0.00042	4543	0.00047	4582	0.00027	5162	0.00035	4622	0.00019	18	0.00000	7080	0.00037	6502	0.00025	6182	0.00042	8783	0.00025	4432	0.00039	19575	0.00035	2872	0.00039	7573	0.00055	4225	0.00034	4629	0.00041
Rhodocyclaceae	75787	F	3073	0.00018	5030	0.00024	5282	0.00045	3691	0.00041	4494	0.00043	4649	0.00048	3848	0.00023	5303	0.00036	4374	0.00018	0	0.00000	7507	0.00039	7189	0.00028	6037	0.00041	10395	0.00030	4152	0.00037	21597	0.00039	2918	0.00039	7226	0.00052	4867	0.00040	4494	0.00040
Fluviibacteraceae	2808923	F	2560	0.00015	392	0.00002	413	0.00004	218	0.00002	250	0.00002	291	0.00003	1566	0.00009	271	0.00002	2948	0.00012	0	0.00000	351	0.00002	305	0.00001	285	0.00002	385	0.00001	204	0.00002	4253	0.00008	140	0.00002	234	0.00002	165	0.00001	193	0.00002
Casimicrobiaceae	2705999	F	269	0.00002	982	0.00005	1191	0.00010	790	0.00009	1434	0.00014	1209	0.00013	965	0.00006	811	0.00005	573	0.00002	0	0.00000	2575	0.00014	2220	0.00009	2426	0.00016	3009	0.00009	1493	0.00013	2932	0.00005	1044	0.00014	2212	0.00016	647	0.00005	1840	0.00016
Ferrovaceae	1442156	F	185	0.00001	248	0.00001	226	0.00002	144	0.00002	188	0.00002	184	0.00002	150	0.00001	232	0.00002	208	0.00001	71	0.00000	376	0.00002	238	0.00001	264	0.00002	351	0.00001	195	0.00002	562	0.00001	124	0.00002	264	0.00002	218	0.00002	181	0.00002
Acidithiobacillaceae	225058	F	2256	0.00013	2952	0.00014	2871	0.00025	1888	0.00021	2297	0.00022	2328	0.00024	2568	0.00015	2850	0.00019	2765	0.00011	367	0.00001	3778	0.00020	3425	0.00013	3270	0.00022	4891	0.00014	2389	0.00021	6473	0.00012	1459	0.00020	3807	0.00028	2503	0.00020	2390	0.00021
Thermithiobacillaceae	225059	F	274	0.00002	487	0.00002	780	0.00007	485	0.00005	467	0.00004	610	0.00006	406	0.00002	625	0.00004	351	0.00001	0	0.00000	865	0.00005	1639	0.00006	640	0.00004	2221	0.00006	454	0.00004	1922	0.00003	317	0.00004	1077	0.00008	527	0.00004	459	0.00004
Mariprofundaceae	580372	F	552	0.00003	743	0.00004	875	0.00008	497	0.00006	700	0.00007	679	0.00007	821	0.00005	837	0.00006	785	0.00003	0	0.00000	763	0.00004	559	0.00002	820	0.00006	815	0.00002	609	0.00005	1263	0.00002	342	0.00005	768	0.00006	890	0.00007	609	0.00005
Magnetococcaceae	1191479	F	500	0.00003	320	0.00002	328	0.00003	250	0.00003	325	0.00003	263	0.00003	341	0.00002	353	0.00002	620	0.00002	0	0.00000	542	0.00003	339	0.00001	336	0.00002	419	0.00001	259	0.00002	588	0.00001	227	0.00003	536	0.00004	317	0.00003	280	0.00002
Hydrogenophilaceae	206349	F	123	0.00001	198	0.00001	239	0.00002	149	0.00002	189	0.00002	237	0.00002	193	0.00001	228	0.00002	204	0.00001	0	0.00000	184	0.00001	229	0.00001	223	0.00002	352	0.00001	129	0.00001	523	0.00001	77	0.00001	290	0.00002	213	0.00002	161	0.00001
Bacteroidaceae	815	F	231508	0.01359	516751	0.02489	501129	0.04312	356900	0.03971	438421	0.04189	389914	0.04059	580087	0.03423	517382	0.03494	346094	0.01391	101	0.00000	964212	0.05063	1938061	0.07448	715675	0.04868	2802226	0.08091	445977	0.03953	848987	0.01517	390152	0.05252	626269	0.04548	739701	0.06018	508017	0.04513
Prevotellaceae	171552	F	141309	0.00830	300636	0.01448	299237	0.02575	222602	0.02477	224573	0.02146	247234	0.02574	381087	0.02249	360881	0.02437	195250	0.00785	32	0.00000	551972	0.02898	2932050	0.11268	576865	0.03923	3815894	0.11018	320964	0.02845	1243519	0.02222	220104	0.02963	319537	0.02320	517771	0.04212	329562	0.02928
Dysgonomonadaceae	2005520	F	106241	0.00624	23620	0.00114	21789	0.00187	15053	0.00168	16628	0.00159	17019	0.00177	23728	0.00140	25423	0.00172	155417	0.00625	0	0.00000	30253	0.00159	22661	0.00087	24695	0.00168	29780	0.00086	15870	0.00141	35560	0.00064	12111	0.00163	24562	0.00178	28497	0.00232	17027	0.00151
Rikenellaceae	171550	F	73142	0.00429	187906	0.00905	194773	0.01676	125915	0.01401	181708	0.01736	147964	0.01540	177372	0.01047	197745	0.01335	91977	0.00370	81	0.00000	415997	0.02184	289208	0.01111	246315	0.01675	411404	0.01188	167467	0.01485	305675	0.00546	169319	0.02279	255671	0.01857	386177	0.03142	166201	0.01477
Tannerellaceae	2005525	F	49162	0.00289	84317	0.00406	76813	0.00661	55722	0.00620	61539	0.00588	61939	0.00645	97800	0.00577	90479	0.00611	69002	0.00277	0	0.00000	124530	0.00654	172953	0.00665	114984	0.00782	229457	0.00663	71547	0.00634	136428	0.00244	51673	0.00696	89435	0.00649	110991	0.00903	82650	0.00734
Porphyromonadaceae	171551	F	19013	0.00112	29469	0.00142	32624	0.00281	22973	0.00256	24625	0.00235	25798	0.00269	34297	0.00202	36233	0.00245	25323	0.00102	0	0.00000	47226	0.00248	28310	0.00109	34640	0.00236	38011	0.00110	22913	0.00203	52455	0.00094	19514	0.00263	31057	0.00226	42698	0.00347	24824	0.00221
Muribaculaceae	2005473	F	15346	0.00090	33333	0.00161	34334	0.00295	24109	0.00268	26457	0.00253	27475	0.00286	38658	0.00228	40291	0.00272	20105	0.00081	0	0.00000	68538	0.00360	597923	0.02298	51282	0.00349	815532	0.02355	32977	0.00292	83980	0.00150	28223	0.00380	43095	0.00313	70462	0.00573	34191	0.00304
Barnesiellaceae	2005519	F	18691	0.00110	25587	0.00123	27342	0.00235	19275	0.00214	21672	0.00207	21447	0.00223	32040	0.00189	32306	0.00218	26193	0.00105	0	0.00000	44640	0.00234	54513	0.00209	39667	0.00270	75049	0.00217	24440	0.00217	46074	0.00082	18334	0.00247	34794	0.00253	36937	0.00301	26585	0.00236
Paludibacteraceae	2005523	F	6689	0.00039	5021	0.00024	5499	0.00047	3994	0.00044	4693	0.00045	4450	0.00046	6613	0.00039	6272	0.00042	9842	0.00040	0	0.00000	6773	0.00036	2118	0.00008	4879	0.00033	2960	0.00009	3121	0.00028	7606	0.00014	2820	0.00038	4062	0.00029	8027	0.00065	3442	0.00031
Odoribacteraceae	1853231	F	8511	0.00050	14568	0.00070	16238	0.00140	11300	0.00126	21482	0.00205	12556	0.00131	19285	0.00114	19690	0.00133	12097	0.00049	0	0.00000	63759	0.00335	85683	0.00329	24512	0.00167	125397	0.00362	15043	0.00133	21086	0.00038	28152	0.00379	17172	0.00125	22322	0.00182	17152	0.00152
Tenuifilaceae	2760872	F	1974	0.00012	2154	0.00010	2137	0.00018	1424	0.00016	1782	0.00017	1665	0.00017	2715	0.00016	2762	0.00019	2761	0.00011	0	0.00000	2865	0.00015	1719	0.00007	2038	0.00014	2125	0.00006	1254	0.00011	3031	0.00005	1121	0.00015	2452	0.00018	2270	0.00018	1372	0.00012
Salinivirgaceae	1970190	F	3356	0.00020	1895	0.00009	2016	0.00017	1308	0.00015	1547	0.00015	1498	0.00016	2364	0.00014	2536	0.00017	4824	0.00019	0	0.00000	2578	0.00014	1291	0.00005	2527	0.00017	1722	0.00005	1589	0.00014	2671	0.00005	1107	0.00015	3109	0.00023	2210	0.00018	1886	0.00017
Prolixibacteraceae	1471398	F	23521	0.00138	18339	0.00088	19023	0.00164	12126	0.00135	15253	0.00146	14230	0.00148	22041	0.00130	22531	0.00152	33624	0.00135	0	0.00000	25693	0.00135	14887	0.00057	17712	0.00120	19185	0.00055	11722	0.00104	24662	0.00044	10498	0.00141	20294	0.00147	17934	0.00146	12911	0.00115
Marinifilaceae	1573805	F	10690	0.00063	8271	0.00040	8542	0.00073	5446	0.00061	7000	0.00067	6400	0.00067	9762	0.00058	10598	0.00072	16344	0.00066	0	0.00000	9965	0.00052	3807	0.00015	6833	0.00046	5222	0.00015	4592	0.00041	11074	0.00020	3968	0.00053	10685	0.00078	8563	0.00070	5310	0.00047
Marinilabiliaceae	558415	F	11976	0.00070	5601	0.00027	6111	0.00053	3910	0.00044	4636	0.00044	4448	0.00046	6924	0.00041	7371	0.00050	15417	0.00062	0	0.00000	8594	0.00045	2901	0.00011	5885	0.00040	3929	0.00011	4076	0.00036	7693	0.00014	3554	0.00048	6636	0.00048	6258	0.00051	4128	0.00037
Flavobacteriaceae	49546	F	517696	0.03040	247614	0.01193	245664	0.02114	149256	0.01661	197073	0.01883	181041	0.01885	298421	0.01761	294339	0.01988	1060915	0.04264	978	0.00002	336437	0.01767	212496	0.00817	242339	0.01648	271931	0.00785	155872	0.01382	1938302	0.03464	136059	0.01832	270528	0.01964	219660	0.01787	185497	0.01648
Weeksellaceae	2762318	F	92009	0.00540	73722	0.00355	72359	0.00623	44283	0.00493	61062	0.00583	55782	0.00581	84335	0.00498	82980	0.00560	168360	0.00677	88	0.00000	99536	0.00523	76103	0.00292	72332	0.00492	97603	0.00282	45593	0.00404	1374543	0.02457	40064	0.00539	81749	0.00594	62084	0.00505	55920	0.00497
Crocinitomicaceae	1853230	F	7909	0.00046	2052	0.00010	2158	0.00019	1332	0.00015	1621	0.00015	1448	0.00015	2453	0.00014	2677	0.00018	24438	0.00098	0	0.00000	3018	0.00016	1175	0.00005	2179	0.00015	1531	0.00004	1980	0.00018	9653	0.00017	1265	0.00017	3276	0.00024	1599	0.00013	1626	0.00014
Blattabacteriaceae	39782	F	6752	0.00040	5838	0.00028	6316	0.00054	3476	0.00039	4722	0.00045	4513	0.00047	7199	0.00042	7175	0.00048	10228	0.00041	0	0.00000	8461	0.00044	9364	0.00036	6284	0.00043	11850	0.00034	3832	0.00034	7913	0.00014	3355	0.00045	7000	0.00051	5398	0.00044	5223	0.00046
Owenweeksiaceae	3024551	F	1927	0.00011	1806	0.00009	1829	0.00016	1247	0.00014	1601	0.00015	1373	0.00014	2328	0.00014	3658	0.00025	3183	0.00013	0	0.00000	2515	0.00013	1299	0.00005	2000	0.00014	1768	0.00005	1426	0.00013	2819	0.00005	1063	0.00014	2353	0.00017	2008	0.00016	2306	0.00020
Ichthyobacteriaceae	1755828	F	1309	0.00008	363	0.00002	359	0.00003	225	0.00003	351	0.00003	359	0.00004	440	0.00003	485	0.00003	2610	0.00010	0	0.00000	1796	0.00009	440	0.00002	358	0.00002	567	0.00002	270	0.00002	375	0.00001	812	0.00011	447	0.00003	235	0.00002	274	0.00002
Parvicellaceae	2975259	F	1999	0.00012	706	0.00003	817	0.00007	535	0.00006	591	0.00006	655	0.00007	948	0.00006	1003	0.00007	1981	0.00008	0	0.00000	984	0.00005	204	0.00001	875	0.00006	293	0.00001	591	0.00005	1150	0.00002	371	0.00005	915	0.00007	612	0.00005	622	0.00006
Sanyastnellaceae	3228945	F	707	0.00004	2407	0.00012	2361	0.00020	1535	0.00017	1921	0.00018	1837	0.00019	2938	0.00017	1270	0.00009	1225	0.00005	0	0.00000	3187	0.00017	632	0.00002	1922	0.00013	857	0.00002	574	0.00005	3378	0.00006	1359	0.00018	908	0.00007	2059	0.00017	603	0.00005
Hymenobacteraceae	1853232	F	19888	0.00117	36056	0.00174	36728	0.00316	25597	0.00285	29544	0.00282	29151	0.00303	38086	0.00225	40439	0.00273	26787	0.00108	52	0.00000	57971	0.00304	67962	0.00261	46671	0.00317	92364	0.00267	32294	0.00286	108919	0.00195	23397	0.00315	54796	0.00398	46088	0.00375	32690	0.00290
Cyclobacteriaceae	563798	F	16027	0.00094	12898	0.00062	12896	0.00111	8569	0.00095	10380	0.00099	10017	0.00104	14989	0.00088	14598	0.00099	26160	0.00105	12	0.00000	17520	0.00092	12666	0.00049	12529	0.00085	17018	0.00049	8284	0.00073	38548	0.00069	7241	0.00097	14928	0.00108	12441	0.00101	9048	0.00080
Spirosomataceae	2896860	F	9264	0.00054	12185	0.00059	12467	0.00107	8287	0.00092	10262	0.00098	10263	0.00107	13664	0.00081	14195	0.00096	14138	0.00057	15	0.00000	17974	0.00094	16853	0.00065	13262	0.00090	22275	0.00064	8558	0.00076	60531	0.00108	7062	0.00095	16313	0.00118	13743	0.00112	9230	0.00082
Cytophagaceae	89373	F	7021	0.00041	9752	0.00047	9511	0.00082	6274	0.00070	7639	0.00073	7555	0.00079	10725	0.00063	10812	0.00073	10282	0.00041	0	0.00000	14559	0.00076	13403	0.00052	11126	0.00076	17873	0.00052	7300	0.00065	25108	0.00045	5810	0.00078	12382	0.00090	10184	0.00083	7772	0.00069
Flammeovirgaceae	200667	F	6424	0.00038	6047	0.00029	6285	0.00054	4318	0.00048	5069	0.00048	5062	0.00053	7672	0.00045	7623	0.00051	10625	0.00043	0	0.00000	8282	0.00043	5778	0.00022	6931	0.00047	7484	0.00022	4702	0.00042	9974	0.00018	3323	0.00045	7564	0.00055	6229	0.00051	5488	0.00049
Marivirgaceae	2762301	F	5636	0.00033	4186	0.00020	4118	0.00035	2432	0.00027	3183	0.00030	2619	0.00027	4811	0.00028	4822	0.00033	9638	0.00039	0	0.00000	5328	0.00028	4847	0.00019	4378	0.00030	5790	0.00017	3041	0.00027	6288	0.00011	2012	0.00027	4564	0.00033	2544	0.00021	3304	0.00029
Reichenbachiellaceae	2762302	F	4685	0.00028	4402	0.00021	4659	0.00040	3125	0.00035	3831	0.00037	3567	0.00037	5729	0.00034	5521	0.00037	7590	0.00031	0	0.00000	6464	0.00034	3454	0.00013	4563	0.00031	4489	0.00013	2958	0.00026	7769	0.00014	2632	0.00035	5748	0.00042	4618	0.00038	3378	0.00030
Fulvivirgaceae	2762286	F	4481	0.00026	4217	0.00020	4144	0.00036	2687	0.00030	3321	0.00032	3311	0.00034	4730	0.00028	4970	0.00034	6667	0.00027	65	0.00000	6192	0.00033	4277	0.00016	4284	0.00029	5313	0.00015	2748	0.00024	8437	0.00015	2528	0.00034	5107	0.00037	4453	0.00036	3019	0.00027
Leadbetterellaceae	3141702	F	4261	0.00025	4337	0.00021	4264	0.00037	2807	0.00031	3593	0.00034	3321	0.00035	5319	0.00031	5159	0.00035	6758	0.00027	0	0.00000	5492	0.00029	2435	0.00009	3818	0.00026	3212	0.00009	2535	0.00022	6744	0.00012	2233	0.00030	5049	0.00037	3571	0.00029	2815	0.00025
Bernardetiaceae	1937968	F	3748	0.00022	2838	0.00014	3116	0.00027	1723	0.00019	2333	0.00022	2343	0.00024	3846	0.00023	3703	0.00025	6374	0.00026	0	0.00000	4424	0.00023	3385	0.00013	2493	0.00017	4371	0.00013	1474	0.00013	5137	0.00009	1645	0.00022	4425	0.00032	2656	0.00022	1866	0.00017
Roseivirgaceae	2762306	F	3416	0.00020	3086	0.00015	3206	0.00028	2194	0.00024	2649	0.00025	2619	0.00027	3857	0.00023	3731	0.00025	5793	0.00023	0	0.00000	3113	0.00016	2776	0.00011	3748	0.00025	3831	0.00011	2284	0.00020	5228	0.00009	1308	0.00018	3442	0.00025	3993	0.00032	2634	0.00023
Persicobacteraceae	1853234	F	2240	0.00013	3080	0.00015	3325	0.00029	2216	0.00025	2688	0.00026	2508	0.00026	3525	0.00021	3849	0.00026	3322	0.00013	0	0.00000	5202	0.00027	3352	0.00013	3457	0.00024	4653	0.00013	2473	0.00022	5050	0.00009	2097	0.00028	4009	0.00029	3405	0.00028	2568	0.00023
Catalimonadaceae	1522127	F	2068	0.00012	1651	0.00008	1689	0.00015	1158	0.00013	1392	0.00013	1353	0.00014	2103	0.00012	2100	0.00014	3297	0.00013	0	0.00000	2433	0.00013	1770	0.00007	1762	0.00012	2400	0.00007	1167	0.00010	3466	0.00006	925	0.00012	1854	0.00013	1736	0.00014	1256	0.00011
Flectobacillaceae	3141701	F	1509	0.00009	1429	0.00007	1571	0.00014	1102	0.00012	1279	0.00012	1133	0.00012	1862	0.00011	1931	0.00013	2417	0.00010	0	0.00000	1966	0.00010	940	0.00004	1369	0.00009	1308	0.00004	883	0.00008	2527	0.00005	797	0.00011	1345	0.00010	1995	0.00016	943	0.00008
Amoebophilaceae	1501348	F	1152	0.00007	1072	0.00005	1330	0.00011	783	0.00009	962	0.00009	1032	0.00011	1412	0.00008	1530	0.00010	1634	0.00007	0	0.00000	1807	0.00009	2063	0.00008	1507	0.00010	2877	0.00008	1070	0.00009	1458	0.00003	695	0.00009	1729	0.00013	1136	0.00009	1271	0.00011
Mangrovivirgaceae	2858885	F	813	0.00005	666	0.00003	663	0.00006	408	0.00005	517	0.00005	537	0.00006	919	0.00005	812	0.00005	1161	0.00005	0	0.00000	818	0.00004	332	0.00001	647	0.00004	529	0.00002	423	0.00004	1170	0.00002	372	0.00005	612	0.00004	464	0.00004	511	0.00005
Rhodocytophagaceae	3078917	F	627	0.00004	698	0.00003	823	0.00007	465	0.00005	678	0.00006	604	0.00006	829	0.00005	848	0.00006	958	0.00004	0	0.00000	960	0.00005	337	0.00001	589	0.00004	469	0.00001	385	0.00003	4616	0.00008	390	0.00005	927	0.00007	475	0.00004	457	0.00004
Sphingobacteriaceae	84566	F	86171	0.00506	68614	0.00331	71470	0.00615	46685	0.00519	57450	0.00549	55100	0.00574	81157	0.00479	82884	0.00560	143970	0.00579	42	0.00000	101566	0.00533	63495	0.00244	72534	0.00493	82622	0.00239	47864	0.00424	251869	0.00450	41130	0.00554	77678	0.00564	68389	0.00556	54382	0.00483
Aurantibacillaceae	3088888	F	920	0.00005	551	0.00003	502	0.00004	291	0.00003	420	0.00004	411	0.00004	693	0.00004	675	0.00005	1839	0.00007	0	0.00000	414	0.00002	448	0.00002	536	0.00004	639	0.00002	339	0.00003	1983	0.00004	164	0.00002	552	0.00004	383	0.00003	441	0.00004
Chitinophagaceae	563835	F	29727	0.00175	33998	0.00164	34168	0.00294	22776	0.00253	28189	0.00269	26693	0.00278	39525	0.00233	39139	0.00264	44761	0.00180	117	0.00000	51570	0.00271	39136	0.00150	38454	0.00262	52032	0.00150	25344	0.00225	103244	0.00185	20727	0.00279	41608	0.00302	37559	0.00306	27375	0.00243
Saprospiraceae	89374	F	2108	0.00012	2122	0.00010	2025	0.00017	1335	0.00015	1701	0.00016	1499	0.00016	2427	0.00014	2734	0.00018	3528	0.00014	0	0.00000	3153	0.00017	2315	0.00009	1938	0.00013	2745	0.00008	1369	0.00012	4489	0.00008	1236	0.00017	2563	0.00019	1959	0.00016	1613	0.00014
Haliscomenobacteraceae	1937961	F	1632	0.00010	2019	0.00010	1964	0.00017	1252	0.00014	1463	0.00014	1562	0.00016	2312	0.00014	2314	0.00016	2291	0.00009	0	0.00000	3111	0.00016	2489	0.00010	2029	0.00014	3360	0.00010	1349	0.00012	4078	0.00007	1238	0.00017	2637	0.00019	2434	0.00020	1409	0.00013
Lewinellaceae	1937960	F	1759	0.00010	2283	0.00011	2251	0.00019	1512	0.00017	1863	0.00018	1714	0.00018	2580	0.00015	2666	0.00018	2545	0.00010	0	0.00000	3736	0.00020	3084	0.00012	2179	0.00015	4074	0.00012	1515	0.00013	3364	0.00006	1555	0.00021	2963	0.00022	1880	0.00015	1579	0.00014
Chlorobiaceae	191412	F	3093	0.00018	6152	0.00030	6412	0.00055	4337	0.00048	5044	0.00048	5287	0.00055	6433	0.00038	7090	0.00048	4035	0.00016	0	0.00000	9218	0.00048	8062	0.00031	7698	0.00052	10840	0.00031	5243	0.00046	11077	0.00020	3630	0.00049	8100	0.00059	6548	0.00053	5847	0.00052
Chloroherpetonaceae	2968741	F	358	0.00002	356	0.00002	429	0.00004	275	0.00003	324	0.00003	310	0.00003	380	0.00002	425	0.00003	407	0.00002	0	0.00000	392	0.00002	550	0.00002	374	0.00003	685	0.00002	242	0.00002	786	0.00001	156	0.00002	445	0.00003	249	0.00002	220	0.00002
Rubricoccaceae	1853227	F	681	0.00004	1347	0.00006	1266	0.00011	859	0.00010	950	0.00009	1127	0.00012	893	0.00005	1405	0.00009	823	0.00003	0	0.00000	1327	0.00007	3877	0.00015	1437	0.00010	5149	0.00015	1020	0.00009	11588	0.00021	554	0.00007	1517	0.00011	1099	0.00009	1057	0.00009
Rhodothermaceae	563843	F	660	0.00004	1803	0.00009	1715	0.00015	1166	0.00013	1380	0.00013	1466	0.00015	1460	0.00009	1823	0.00012	861	0.00003	0	0.00000	2507	0.00013	3085	0.00012	1963	0.00013	4252	0.00012	1385	0.00012	5527	0.00010	964	0.00013	2029	0.00015	1376	0.00011	1397	0.00012
Salinibacteraceae	1853225	F	329	0.00002	562	0.00003	574	0.00005	404	0.00004	444	0.00004	483	0.00005	423	0.00002	533	0.00004	336	0.00001	0	0.00000	881	0.00005	851	0.00003	640	0.00004	1187	0.00003	484	0.00004	2169	0.00004	330	0.00004	903	0.00007	696	0.00006	435	0.00004
Ignavibacteriaceae	795749	F	1031	0.00006	1215	0.00006	1189	0.00010	678	0.00008	917	0.00009	853	0.00009	1693	0.00010	1440	0.00010	1518	0.00006	11	0.00000	1543	0.00008	2886	0.00011	1360	0.00009	3059	0.00009	793	0.00007	1358	0.00002	650	0.00009	1429	0.00010	1010	0.00008	1111	0.00010
Melioribacteraceae	1334117	F	209	0.00001	505	0.00002	509	0.00004	333	0.00004	409	0.00004	421	0.00004	527	0.00003	488	0.00003	294	0.00001	0	0.00000	795	0.00004	486	0.00002	771	0.00005	614	0.00002	419	0.00004	826	0.00001	318	0.00004	630	0.00005	428	0.00003	485	0.00004
Balneolaceae	1813606	F	693	0.00004	749	0.00004	823	0.00007	526	0.00006	650	0.00006	661	0.00007	900	0.00005	830	0.00006	873	0.00004	0	0.00000	1111	0.00006	659	0.00003	1037	0.00007	863	0.00002	681	0.00006	1252	0.00002	444	0.00006	842	0.00006	674	0.00005	743	0.00007
Cyclonatronaceae	3024158	F	550	0.00003	629	0.00003	662	0.00006	480	0.00005	586	0.00006	584	0.00006	628	0.00004	656	0.00004	758	0.00003	0	0.00000	617	0.00003	762	0.00003	748	0.00005	1047	0.00003	438	0.00004	1063	0.00002	259	0.00003	1210	0.00009	695	0.00006	518	0.00005
Fibrobacteraceae	204431	F	3808	0.00022	8705	0.00042	6589	0.00057	1895	0.00021	2152	0.00021	2192	0.00023	17775	0.00105	6785	0.00046	2608	0.00010	0	0.00000	214317	0.01125	222773	0.00856	4960	0.00034	262263	0.00757	4096	0.00036	4420	0.00008	75139	0.01012	81931	0.00595	164192	0.01336	3771	0.00034
Gemmatimonadaceae	219687	F	1251	0.00007	2808	0.00014	2594	0.00022	1954	0.00022	2052	0.00020	2356	0.00025	2279	0.00013	3116	0.00021	1606	0.00006	0	0.00000	3861	0.00020	4019	0.00015	2974	0.00020	5435	0.00016	2063	0.00018	22492	0.00040	1613	0.00022	3166	0.00023	1838	0.00015	2140	0.00019
Candidatus Palauibacteraceae	3056649	F	548	0.00003	1128	0.00005	1056	0.00009	776	0.00009	839	0.00008	940	0.00010	690	0.00004	1287	0.00009	702	0.00003	0	0.00000	1240	0.00007	1248	0.00005	1109	0.00008	1732	0.00005	753	0.00007	5437	0.00010	467	0.00006	1234	0.00009	637	0.00005	795	0.00007
Gaopeijiaceae	3381668	F	215	0.00001	368	0.00002	362	0.00003	277	0.00003	263	0.00003	335	0.00003	295	0.00002	462	0.00003	253	0.00001	0	0.00000	388	0.00002	353	0.00001	388	0.00003	535	0.00002	278	0.00002	1891	0.00003	168	0.00002	640	0.00005	353	0.00003	299	0.00003
Candidatus Cloacimonadaceae	3039865	F	303	0.00002	372	0.00002	351	0.00003	255	0.00003	269	0.00003	253	0.00003	357	0.00002	346	0.00002	502	0.00002	0	0.00000	463	0.00002	435	0.00002	284	0.00002	553	0.00002	204	0.00002	399	0.00001	159	0.00002	267	0.00002	226	0.00002	262	0.00002
